P_Mucros.pep,P_bivittatus_protein
XP_015685632.1,XP_007439964.1
XP_015673453.1,XP_007434870.1
XP_015677001.1,XP_025018870.1
XP_029141027.1,XP_025024437.1
XP_015679400.2,XP_007421699.2
XP_015687559.2,XP_025031405.1
XP_015680435.1,XP_025021940.1
XP_015686559.1,XP_007440882.2
XP_015686009.1,XP_007431816.1
XP_015684222.1,XP_007443776.1
XP_015680600.1,XP_007437457.1
XP_015680601.1,XP_025027487.1
XP_015671144.1,XP_025023927.1
XP_015670417.1,XP_007424363.2
XP_015673614.1,XP_007432553.1
XP_015674938.1,XP_025022839.1
XP_015677578.1,XP_025027105.1
XP_015668460.1,XP_007423592.1
XP_015674611.2,XP_007432719.1
XP_015671202.1,XP_015744892.1
XP_015677796.1,XP_007434646.1
XP_029142570.1,XP_007428625.1
XP_015666423.1,XP_007423078.1
XP_015672259.1,XP_007427181.1
XP_015665810.1,XP_007432206.1
XP_015666096.1,XP_007442790.1
XP_015666097.1,XP_015746256.2
XP_015668023.1,XP_007429013.1
XP_015669813.1,XP_025031868.1
XP_015666051.1,XP_007420885.1
XP_015677798.1,XP_015743577.2
XP_015677363.1,XP_007438215.1
XP_015682697.1,XP_025029148.1
XP_015670548.1,XP_007420519.1
XP_015673721.1,XP_007425335.1
XP_029139817.1,XP_025022309.1
XP_015666653.1,XP_007429221.2
XP_015677954.1,XP_007437418.1
XP_029139691.1,XP_025026575.1
XP_015687257.1,XP_007428844.1
XP_029140537.1,XP_025024130.1
XP_015680080.1,XP_025032248.1
XP_015676618.1,XP_007429300.1
XP_015669620.1,XP_025025830.1
XP_015687442.1,XP_007421072.1
XP_015669644.1,XP_025027087.1
XP_015671023.1,XP_007431261.1
XP_015669076.1,XP_007438094.1
XP_015686969.1,XP_007432450.1
XP_015669087.1,XP_025020851.1
XP_015670518.1,XP_025022429.1
XP_015679134.1,XP_007443435.1
XP_015671304.2,XP_007427590.1
XP_015670099.1,XP_007431129.1
XP_015669694.1,XP_007425090.1
XP_029139041.1,XP_025029196.1
XP_015668376.1,XP_007432541.1
XP_015666825.1,XP_025030634.1
XP_015666452.1,XP_007429130.1
XP_015667520.1,XP_025032939.1
XP_015667273.1,XP_007423010.1
XP_015681134.1,XP_007421762.1
XP_015687748.1,XP_007433437.1
XP_015673292.2,XP_025018799.1
XP_015687652.1,XP_007443590.2
XP_029143174.1,XP_007429790.1
XP_015687656.1,XP_025020517.1
XP_015678644.1,XP_007426462.1
XP_015687783.1,XP_007429242.1
XP_015666566.1,XP_007443663.1
XP_015671006.1,XP_007433870.1
XP_015673216.1,XP_007426639.1
XP_015665878.1,XP_007428559.1
XP_029143202.1,XP_007423331.1
XP_015665958.1,XP_007434003.1
XP_029140301.1,XP_025025804.1
XP_029143201.1,XP_015743369.2
XP_015675499.1,XP_007442694.1
XP_015665610.1,XP_007421361.1
XP_029142578.1,XP_007420625.1
XP_015665871.1,XP_007428632.1
XP_029138872.1,XP_025022644.1
XP_029139739.1,XP_015745922.1
XP_015665643.1,XP_007421355.1
XP_029140583.1,XP_015747043.1
XP_015681988.1,XP_007436751.2
XP_015670738.1,XP_007433132.2
XP_015671072.1,XP_007436039.1
XP_029142451.1,XP_007435736.2
XP_015673966.1,XP_007444209.2
XP_029139731.1,XP_025029708.1
XP_015673807.1,XP_025022816.1
XP_015669914.1,XP_007439949.1
XP_015671847.1,XP_007426802.1
XP_015679907.1,XP_007423381.1
XP_015675236.1,XP_007431253.1
XP_029139776.1,XP_025021260.1
XP_015684851.1,XP_007440057.2
XP_029141810.1,XP_007438888.2
XP_015685230.1,XP_007422881.1
XP_015683049.1,XP_007438948.2
XP_015681826.1,XP_007422176.1
XP_029139603.1,XP_025025589.1
XP_015673194.1,XP_007428009.1
XP_015687266.1,XP_015745548.1
XP_029141941.1,XP_025019597.1
XP_015687263.1,XP_025018786.1
XP_015671507.1,XP_007428213.1
XP_015671338.1,XP_025022394.1
XP_015671487.1,XP_015743720.1
XP_015671465.1,XP_007429189.1
XP_015676807.1,XP_007426010.1
XP_015671675.1,XP_007436560.1
XP_029140625.1,XP_015744981.1
XP_015670732.1,XP_015742907.1
XP_015670713.1,XP_007424433.1
XP_015666749.1,XP_007431329.1
XP_015681429.1,XP_007436382.1
XP_015674071.1,XP_007428075.1
XP_015670211.1,XP_007429518.1
XP_015687846.1,XP_007432024.1
XP_015671864.2,XP_007437405.1
XP_015679407.1,XP_007442103.1
XP_015679319.1,XP_007441311.1
XP_029139132.1,XP_007421411.1
XP_015667256.1,XP_007421400.1
XP_015670667.1,XP_025023437.1
XP_015670627.1,XP_007428426.1
XP_015667687.2,XP_025021790.1
XP_015687426.1,XP_007439683.1
XP_015668754.1,XP_007432162.2
XP_029139570.1,XP_025029773.1
XP_015669437.1,XP_007425914.1
XP_015672304.1,XP_007427033.3
XP_015672306.1,XP_025023568.1
XP_015669954.1,XP_007433026.1
XP_015673518.1,XP_007423825.1
XP_015680027.2,XP_007429329.1
XP_015678417.1,XP_007434224.1
XP_015676154.1,XP_007432712.1
XP_015680051.2,XP_007427860.2
XP_015679234.1,XP_007438302.1
XP_015673759.1,XP_007443209.1
XP_015673765.1,XP_007438848.1
XP_015675617.1,XP_007432958.1
XP_029140089.1,XP_025019660.1
XP_015678221.1,XP_025019658.1
XP_029139298.1,XP_007441795.2
XP_015669722.1,XP_007432369.1
XP_029141144.1,XP_025020677.1
XP_015668773.1,XP_007432168.1
XP_029141782.1,XP_007440376.2
XP_015671636.1,XP_007436149.1
XP_015679779.1,XP_025023580.1
XP_015672672.1,XP_007428591.1
XP_015672522.2,XP_025022614.1
XP_029142085.1,XP_025032197.1
XP_015682384.1,XP_025027416.1
XP_015670611.1,XP_007420525.1
XP_015679181.1,XP_007425651.1
XP_015672709.1,XP_007429873.3
XP_029139228.1,XP_007425797.1
XP_015672981.1,XP_007421783.1
XP_015674931.1,XP_007436638.1
XP_015675369.1,XP_007428326.1
XP_015679788.1,XP_007439277.1
XP_015675501.1,XP_007432802.1
XP_015676685.1,XP_007429422.1
XP_015684471.1,XP_007431526.1
XP_015680862.1,XP_025025529.1
XP_029142905.1,XP_007420800.1
XP_015675102.1,XP_007435028.1
XP_029139825.1,XP_007419933.1
XP_015678171.2,XP_007439776.2
XP_029139855.1,XP_007439143.1
XP_015674379.1,XP_007428564.2
XP_015667372.1,XP_007436395.2
XP_015677048.1,XP_007432642.1
XP_015680026.1,XP_007432646.1
XP_015680994.1,XP_007426229.1
XP_015674624.1,XP_007443321.2
XP_015685092.1,XP_025022086.1
XP_015674618.1,XP_007428025.1
XP_029141739.1,XP_007429692.1
XP_015677095.1,XP_007419896.1
XP_015675982.1,XP_007419884.1
XP_015675957.1,XP_007434637.1
XP_015675978.1,XP_007434002.1
XP_015675210.1,XP_007439249.1
XP_015674603.1,XP_007437293.1
XP_015674614.1,XP_025028322.1
XP_015679922.1,XP_007437910.1
XP_029139126.1,XP_025026265.1
XP_015667158.1,XP_007443942.2
XP_015682535.1,XP_025019546.1
XP_015672188.1,XP_007419854.1
XP_015679128.1,XP_007427840.1
XP_015674819.1,XP_007424865.1
XP_015682985.1,XP_007424870.1
XP_015681245.1,XP_025032316.1
XP_015673417.1,XP_007420456.1
XP_015682212.1,XP_007424780.1
XP_029141985.1,XP_007429607.1
XP_015682213.1,XP_007424783.1
XP_015666762.1,XP_025018761.1
XP_015682048.1,XP_007426679.1
XP_015669035.1,XP_007427091.1
XP_015667809.1,XP_007441773.1
XP_015667842.1,XP_007433724.1
XP_015672811.1,XP_007425865.1
XP_029141231.1,XP_025026091.1
XP_029140854.1,XP_007438903.1
XP_015672862.1,XP_025022426.1
XP_015679510.1,XP_007442902.1
XP_015671336.1,XP_007425728.1
XP_029140134.1,XP_007434382.1
XP_029141786.1,XP_025026871.1
XP_015675652.1,XP_025022753.1
XP_015679710.1,XP_007438087.2
XP_015668354.1,XP_007442407.1
XP_015673560.1,XP_007432793.1
XP_015674899.1,XP_025031675.1
XP_015673804.1,XP_007436517.1
XP_029142362.1,XP_007438436.1
XP_015673895.1,XP_007431362.1
XP_015677614.1,XP_007432926.1
XP_015677613.1,XP_007432927.1
XP_015675351.1,XP_015743795.1
XP_015670449.1,XP_007422264.1
XP_015676614.2,XP_007435151.1
XP_015680614.1,XP_007430765.2
XP_029141037.1,XP_007435273.1
XP_015680292.1,XP_025028543.1
XP_015675304.1,XP_007437677.1
XP_015680396.1,XP_025019459.1
XP_015673762.1,XP_025026579.1
XP_015673515.1,XP_007438340.1
XP_015673547.1,XP_007438336.1
XP_015671469.1,XP_007420704.1
XP_015687076.1,XP_007433914.1
XP_015670258.1,XP_007439659.1
XP_029139971.1,XP_007425709.1
XP_015675114.1,XP_015743770.1
XP_029142266.1,XP_025024736.1
XP_015676445.1,XP_007435668.1
XP_015686932.1,XP_007433483.1
XP_029139516.1,XP_007444567.1
XP_029139517.1,XP_007425859.1
YP_008081105.1,YP_008083604.1
XP_015671141.1,XP_007437546.2
XP_029142859.1,XP_025027522.1
XP_015675275.1,XP_007443175.1
XP_015670280.1,XP_007420950.1
XP_015678541.1,XP_007422619.1
XP_015673313.1,XP_007439600.2
XP_029142081.1,XP_025021429.1
XP_015675085.1,XP_025033531.1
XP_029139887.1,XP_007436906.1
XP_015686813.1,XP_007421252.1
XP_015666078.1,XP_015745624.1
XP_015667757.1,XP_025029749.1
XP_029142033.1,XP_025027270.1
XP_015678653.1,XP_007436473.1
XP_015676081.1,XP_007430179.1
XP_015680238.1,XP_025025305.1
XP_029139343.1,XP_007444598.1
XP_015668603.1,XP_025030989.1
XP_015680225.1,XP_025030915.1
XP_015682435.1,XP_007433091.1
XP_015667376.1,XP_025022799.1
XP_015665463.1,XP_007424548.1
XP_015665402.1,XP_015742924.1
XP_015674492.1,XP_025021511.1
XP_015665553.2,XP_007436913.1
XP_015687143.1,XP_007427119.1
XP_029141958.1,XP_007420439.1
XP_015682097.1,XP_007427147.1
XP_015668253.1,XP_007425351.1
XP_015671966.1,XP_025021445.1
XP_029139122.1,XP_025028847.1
XP_015677498.1,XP_025032038.1
XP_015677176.1,XP_007424442.1
XP_015675340.1,XP_025031447.1
XP_029142760.1,XP_025024095.1
XP_029139336.1,XP_007430325.1
XP_015682130.1,XP_025024404.1
XP_029142367.1,XP_007436908.1
XP_015676797.1,XP_007440986.2
XP_015680797.1,XP_007429544.1
XP_029140985.1,XP_025023338.1
XP_015667917.1,XP_007421424.1
XP_015675335.1,XP_007443201.2
XP_015665544.1,XP_025026661.1
XP_029139468.1,XP_015744140.1
XP_015666608.1,XP_007440048.1
XP_015668231.1,XP_007443463.2
XP_015669481.1,XP_007430063.1
XP_015676158.1,XP_025024071.1
XP_015681839.1,XP_025024310.1
XP_015666180.1,XP_025027154.1
XP_015665482.1,XP_007437950.1
XP_015671334.1,XP_015746410.1
XP_015669051.1,XP_025029618.1
XP_015673406.1,XP_025032399.1
XP_015679839.1,XP_007436077.1
XP_029139011.1,XP_007441780.1
XP_015678854.1,XP_007425065.1
XP_015683517.1,XP_025022036.1
XP_015668064.1,XP_007422678.1
XP_029140126.1,XP_025029221.1
XP_015671264.2,XP_007443738.1
XP_015682015.1,XP_007439832.1
XP_015671262.2,XP_007443237.1
XP_015678857.1,XP_007420136.1
XP_015683766.1,XP_007433805.1
XP_029142601.1,XP_007438449.1
XP_015687155.2,XP_025022882.1
XP_015673080.1,XP_025024974.1
XP_029139850.1,XP_007438992.1
XP_015665966.1,XP_007433156.1
XP_029138938.1,XP_025031939.1
XP_029138800.1,XP_007431756.1
XP_015680695.1,XP_007432065.1
XP_015673988.1,XP_007428205.1
XP_029141698.1,XP_025028276.1
XP_015686673.1,XP_007421621.1
XP_015673053.1,XP_007421119.1
XP_015678487.1,XP_015745456.1
XP_015665406.2,XP_007431763.3
XP_015666592.1,XP_007441803.1
XP_015665974.1,XP_025019253.1
XP_029142163.1,XP_007442595.1
XP_015687138.1,XP_007430487.1
XP_015667356.1,XP_007437341.1
XP_015683873.2,XP_007429405.1
XP_015675865.1,XP_025019110.1
XP_029139418.1,XP_025030293.1
XP_029139854.1,XP_025024418.1
XP_015671255.1,XP_007432199.1
XP_015682482.1,XP_007421777.1
XP_015677362.1,XP_007440154.1
XP_015670317.1,XP_007420945.1
XP_015681986.1,XP_007443081.1
XP_015681985.1,XP_007443083.1
XP_015678508.1,XP_007438108.1
XP_015666596.1,XP_007434609.1
XP_015672986.1,XP_025028422.1
XP_015670256.1,XP_007429912.1
XP_015684184.1,XP_025027415.1
XP_015679661.1,XP_007427906.1
XP_015669578.1,XP_007424631.1
XP_029141753.1,XP_025023990.1
XP_015679662.1,XP_007427907.1
XP_015669646.1,XP_007420700.3
XP_015676454.2,XP_007430163.2
XP_015683415.1,XP_025018942.1
XP_015685855.1,XP_007430157.1
XP_015685845.1,XP_007430164.1
XP_015675171.1,XP_025026104.1
XP_015684704.1,XP_015743805.1
XP_015670297.1,XP_007420922.1
XP_015669317.1,XP_007427941.1
XP_015680954.1,XP_025030113.1
XP_015678198.1,XP_007436340.1
XP_015671451.1,XP_007437927.1
XP_029141606.1,XP_025023325.1
XP_015665490.1,XP_007434704.1
XP_015683009.2,XP_007436108.2
XP_029140049.1,XP_025028423.1
XP_029142355.1,XP_025033028.1
XP_015676010.1,XP_025028891.1
XP_029141989.1,XP_025032456.1
XP_015666199.1,XP_007445354.1
XP_015676993.1,XP_007440996.1
XP_015682729.1,XP_025027368.1
XP_015682601.1,XP_007427620.1
XP_015672088.1,XP_007430040.1
XP_029143156.1,XP_007441862.1
XP_015674371.1,XP_007435098.1
XP_015676516.1,XP_015744745.1
XP_015676945.1,XP_007440055.1
XP_015668114.1,XP_007439540.2
XP_015683815.1,XP_015744279.1
XP_015685686.1,XP_007444203.1
XP_015683963.1,XP_007422416.1
XP_015665562.1,XP_015746141.1
XP_015682571.1,XP_007441089.2
XP_015666169.1,XP_007438084.1
XP_015678246.1,XP_025032028.1
XP_015676535.1,XP_007433794.1
XP_015666191.1,XP_007438269.1
XP_015666211.1,XP_007438270.1
XP_029141872.1,XP_025024926.1
XP_015666214.1,XP_007435630.1
XP_015680855.1,XP_007444068.1
XP_015665497.1,XP_007440671.1
XP_015674350.1,XP_007442337.2
XP_015686247.1,XP_007428820.1
XP_015682657.1,XP_025031365.1
XP_015670539.1,XP_025022310.1
XP_029138967.1,XP_025019042.1
XP_015665554.1,XP_015745056.1
XP_015665527.1,XP_007424549.1
XP_015671283.1,XP_007444282.1
XP_015672038.1,XP_007436399.1
XP_015665786.1,XP_025027745.1
XP_015674849.1,XP_007444628.2
XP_015681587.1,XP_007433033.1
XP_029141068.1,XP_025026567.1
XP_015673995.1,XP_025023857.1
XP_015668212.1,XP_007440614.1
XP_015671771.1,XP_007443929.1
XP_015670062.1,XP_025026552.1
XP_015670065.1,XP_025026550.1
XP_015670063.1,XP_025026543.1
XP_015665838.1,XP_025027726.1
XP_029141719.1,XP_025032116.1
XP_029139499.1,XP_025023987.1
YP_008081107.1,YP_008083606.1
YP_008081103.1,YP_008083602.1
YP_008081102.1,YP_008083601.1
YP_008081101.1,YP_008083600.1
YP_008081100.1,YP_008083599.1
XP_015676502.2,XP_025024174.1
XP_015678126.1,XP_007442742.1
XP_015684506.1,XP_007435303.2
XP_015684548.1,XP_007435297.1
XP_015669351.1,XP_007433854.1
XP_015683640.1,XP_007438218.1
XP_029141623.1,XP_007431260.1
XP_015681848.2,XP_007440234.1
XP_015676637.1,XP_007428771.1
XP_015680001.1,XP_007435318.2
XP_015679417.1,XP_007432816.1
XP_015676517.1,XP_007435206.2
XP_029138848.1,XP_007442982.2
XP_029140261.1,XP_025027574.1
XP_015684477.1,XP_007442809.1
XP_029138936.1,XP_015745806.1
XP_015682493.1,XP_007428803.1
XP_015670441.2,XP_025026032.1
XP_029140747.1,XP_025026748.1
XP_029141259.1,XP_025021763.1
XP_029139995.1,XP_007432268.1
XP_029139962.1,XP_025023131.1
XP_015683333.1,XP_007441920.2
XP_015675792.1,XP_007435868.1
XP_015672057.1,XP_007430622.1
XP_015673164.1,XP_015746228.2
XP_029143094.1,XP_007439102.2
XP_015687229.1,XP_025029462.1
XP_015683116.1,XP_007443631.2
XP_015676069.1,XP_007434627.1
XP_015667624.2,XP_007439770.1
XP_029142269.1,XP_007433269.1
XP_015681743.2,XP_025032419.1
XP_029140210.1,XP_025033405.1
XP_029142516.1,XP_025023151.1
XP_029141898.1,XP_025030444.1
XP_015687565.1,XP_007437832.1
XP_015681787.1,XP_007421891.1
XP_015687975.1,XP_025030362.1
XP_015678810.1,XP_007432738.1
XP_015687379.1,XP_007432101.1
XP_015684738.1,XP_007434855.1
XP_015667474.1,XP_007433931.1
XP_029142827.1,XP_025028052.1
XP_015676917.1,XP_025019032.1
XP_015668906.1,XP_007421447.1
XP_015682016.1,XP_007439833.2
XP_015683101.1,XP_015744369.1
XP_015682594.1,XP_025029083.1
XP_015683044.2,XP_007440214.2
XP_029139998.1,XP_025023216.1
XP_015681327.1,XP_007441698.1
XP_015679438.1,XP_015746940.1
XP_015677225.1,XP_007429514.1
XP_029141677.1,XP_025025656.1
XP_029140253.1,XP_025030253.1
XP_029142763.1,XP_025024096.1
XP_015680551.1,XP_025029314.1
XP_015684951.2,XP_007440264.1
XP_015684960.2,XP_007440266.2
XP_015684941.1,XP_007440263.3
XP_015681464.1,XP_015744934.1
XP_015668241.1,XP_025025926.1
XP_015682325.1,XP_015743375.1
XP_015687350.1,XP_007421929.1
XP_015677746.1,XP_025019834.1
XP_015685466.1,XP_025023015.1
XP_015679833.1,XP_007427139.1
XP_015667493.1,XP_007434522.1
XP_015673947.1,XP_007428518.1
XP_029140234.1,XP_025033236.1
XP_015672099.1,XP_007434913.1
XP_029141372.1,XP_007439513.1
XP_015668955.1,XP_007435346.1
XP_015681898.1,XP_025019247.1
XP_015668611.1,XP_007425431.1
XP_029140652.1,XP_025030478.1
XP_029140407.1,XP_025031014.1
XP_029140770.1,XP_007423040.1
XP_029139232.1,XP_025022228.1
XP_015678477.1,XP_007438978.1
XP_015667093.1,XP_007437646.1
XP_029142871.1,XP_025027520.1
XP_029140092.1,XP_007430986.1
XP_029139248.1,XP_025032018.1
XP_029139096.1,XP_025019383.1
XP_015682128.1,XP_025027698.1
XP_029139400.1,XP_025024732.1
XP_015678307.2,XP_025031635.1
XP_029139403.1,XP_025030180.1
XP_015670290.1,XP_025023801.1
XP_015684652.1,XP_025025733.1
XP_015680955.1,XP_007441829.2
XP_029141025.1,XP_025029851.1
XP_015673423.1,XP_007432595.1
XP_029140346.1,XP_025022804.1
XP_029140333.1,XP_007428641.1
XP_029141575.1,XP_007435497.2
XP_015671115.1,XP_007421353.2
XP_015681790.1,XP_025031919.1
XP_029141319.1,XP_025024239.1
XP_015684309.1,XP_025024715.1
XP_015666414.1,XP_007423067.1
XP_015669852.1,XP_015744429.1
XP_029141309.1,XP_007424021.1
XP_015669195.1,XP_025023158.1
XP_015669921.1,XP_025019151.1
XP_029140032.1,XP_007424821.1
XP_015680013.1,XP_007419969.1
XP_029139048.1,XP_025028404.1
XP_015666868.1,XP_007420300.2
XP_029138960.1,XP_007433020.1
XP_015673006.1,XP_025021581.1
XP_015674798.1,XP_025031735.1
XP_015673175.1,XP_025026211.1
XP_015684023.1,XP_007441857.1
XP_015666569.1,XP_007434902.1
XP_015666541.1,XP_007425891.1
XP_015672395.2,XP_007424949.1
XP_015676834.1,XP_007438758.1
XP_015676383.1,XP_007444821.2
XP_015665657.1,XP_007437364.1
XP_015665627.1,XP_007423162.1
XP_029138838.1,XP_025019082.1
XP_015665697.1,XP_025019088.1
XP_015677693.1,XP_007420428.1
XP_015671829.1,XP_007421225.1
XP_029141179.1,XP_007420425.1
XP_015679397.1,XP_007424121.1
XP_029142419.1,XP_007441069.3
XP_029141517.1,XP_007430557.1
XP_015680020.1,XP_007436801.1
XP_015671869.2,XP_007426660.2
XP_015683083.2,XP_007443057.2
XP_029139133.1,XP_025027090.1
XP_015684139.1,XP_007433635.1
XP_015672606.1,XP_015743971.1
XP_015672607.2,XP_025033296.1
XP_015676030.1,XP_007432709.1
XP_015681861.1,XP_007423685.1
XP_015681353.1,XP_007423680.1
XP_015685064.1,XP_007430871.1
XP_015672642.1,XP_015744697.1
XP_029143205.1,XP_007438601.2
XP_029140739.1,XP_025019525.1
XP_015673653.1,XP_025019583.1
XP_029140682.1,XP_025026376.1
XP_015677949.1,XP_007437256.1
XP_015675179.1,XP_025022058.1
XP_029141735.1,XP_025019077.1
XP_015682599.2,XP_007431956.3
XP_029141601.1,XP_025030633.1
XP_015680304.1,XP_007430123.1
XP_015667883.2,XP_007431771.1
XP_015674178.1,XP_025023687.1
XP_029141859.1,XP_025018748.1
XP_029140251.1,XP_025020946.1
XP_015672861.1,XP_007420720.1
XP_029140878.1,XP_015745228.1
XP_015681616.1,XP_007421849.1
XP_015684618.1,XP_007427816.1
XP_029142892.1,XP_025021957.1
XP_015681422.1,XP_025022147.1
XP_029139786.1,XP_025032506.1
XP_015678635.1,XP_015745812.1
XP_029140371.1,XP_025031762.1
XP_015678993.1,XP_007426799.1
XP_015671485.1,XP_007420709.1
XP_015683594.1,XP_007438089.1
XP_029142589.1,XP_007435709.1
YP_008081112.1,YP_008083611.1
XP_015681335.1,XP_007425269.1
XP_029139450.1,XP_007429164.1
XP_015681535.1,XP_007440805.1
XP_015681531.1,XP_025027966.1
XP_015681543.1,XP_007436724.1
XP_015687744.1,XP_007424263.1
XP_015680995.1,XP_007426230.1
XP_015676057.1,XP_015743892.1
XP_029140307.1,XP_025029030.1
XP_015672756.1,XP_007439158.1
XP_029140760.1,XP_025019099.1
XP_015680083.1,XP_025024756.1
XP_015684724.1,XP_025029360.1
XP_015678066.1,XP_007437359.1
XP_015665847.1,XP_007424065.1
XP_015669462.1,XP_007423895.1
XP_029141763.1,XP_007432066.1
XP_029140270.1,XP_007439067.1
XP_015680571.1,XP_007438000.1
XP_015680136.1,XP_015746282.2
XP_029141658.1,XP_007434451.1
XP_015665530.2,XP_007424546.1
XP_015674433.1,XP_007438261.1
XP_015669479.1,XP_025023572.1
XP_029142172.1,XP_025028192.1
XP_015687153.2,XP_007429024.1
XP_015679086.1,XP_025028655.1
XP_015678754.2,XP_025021538.1
XP_015687115.1,XP_007445453.1
XP_015670831.1,XP_025024350.1
XP_015666606.1,XP_007440050.1
XP_015682891.1,XP_007434511.2
XP_015682898.1,XP_007434502.1
XP_015672269.2,XP_025033519.1
XP_015666830.1,XP_007427165.1
XP_015665751.1,XP_007441647.1
XP_015667960.1,XP_025019283.1
XP_015687514.1,XP_007438622.1
XP_029138957.1,XP_007432777.2
XP_029142924.1,XP_015745470.2
XP_015671296.1,XP_007443234.1
XP_015683241.1,XP_025028014.1
XP_015683092.1,XP_025031604.1
XP_015668722.1,XP_015742752.1
XP_015666502.1,XP_007424463.1
XP_015673079.1,XP_007421150.2
XP_029143082.1,XP_025023575.1
XP_015674417.1,XP_007422880.1
XP_015676155.1,XP_025026545.1
XP_015677008.1,XP_007442502.1
XP_015678153.1,XP_007441054.1
XP_015676373.1,XP_007437585.1
XP_029141777.1,XP_025022325.1
XP_015672825.1,XP_025028678.1
XP_029139203.1,XP_025032894.1
XP_015680750.1,XP_007423547.2
XP_015668876.1,XP_007429154.1
XP_015668877.1,XP_015743716.1
XP_015673414.1,XP_007420452.1
XP_015684437.1,XP_025027858.1
XP_015668844.1,XP_007428877.1
XP_015683314.1,XP_025024364.1
XP_015675821.1,XP_025033164.1
XP_015678566.1,XP_025019392.1
XP_015671436.1,XP_015743130.1
XP_015672371.1,XP_007428182.1
XP_015670318.1,XP_025023659.1
XP_015675209.1,XP_025026434.1
XP_015679114.1,XP_007443416.1
XP_015680378.1,XP_007440939.1
XP_015680906.2,XP_025029744.1
XP_029141082.1,XP_025030591.1
XP_015674187.1,XP_025023377.1
XP_015673231.1,XP_007440921.1
XP_015680314.1,XP_025028349.1
XP_015679894.1,XP_007426781.1
XP_015675227.1,XP_015743697.1
XP_015679708.1,XP_007435915.1
XP_015665513.2,XP_025026134.1
XP_015678047.1,XP_025033459.1
XP_015678254.1,XP_007441186.2
XP_015668478.1,XP_007434113.1
XP_029141963.1,XP_007433032.1
XP_029140334.1,XP_007428642.2
XP_015682789.1,XP_007431738.1
XP_015680165.1,XP_015744774.1
XP_015667959.1,XP_007423464.1
XP_015670464.1,XP_007425533.2
XP_015672511.1,XP_007432517.1
XP_015676987.1,XP_015746114.1
XP_015666607.1,XP_015745684.1
XP_015677636.1,XP_007421962.1
XP_015673727.1,XP_025028170.1
XP_015678253.1,XP_007442778.1
XP_015665694.1,XP_007444356.1
XP_015673954.1,XP_025029974.1
XP_029143120.1,XP_007445195.1
XP_015677467.1,XP_007434674.1
XP_029140204.1,XP_025020604.1
XP_029141379.1,XP_025030538.1
XP_029142483.1,XP_007425823.2
XP_015677930.1,XP_007443689.2
XP_015666239.1,XP_007421973.1
XP_015681527.1,XP_007436353.1
XP_015666784.1,XP_007420301.1
XP_015676524.2,XP_007431041.2
XP_015666617.1,XP_007437343.1
XP_029140511.1,XP_025030465.1
XP_015675094.1,XP_007422076.1
XP_029142103.1,XP_007436169.2
XP_015680067.1,XP_007444042.2
XP_029138855.1,XP_025031754.1
XP_029140650.1,XP_015746518.1
XP_015674784.1,XP_007424493.1
XP_015687123.2,XP_007429031.2
XP_015678028.1,XP_007434196.1
XP_015668411.2,XP_007424634.1
XP_015678803.1,XP_007439512.1
XP_029140608.1,XP_007433382.1
XP_029140953.1,XP_007442915.2
XP_029139538.1,XP_007442878.1
XP_015682686.1,XP_007425998.3
XP_029142216.1,XP_025023663.1
XP_029140761.1,XP_025019094.1
XP_015683962.1,XP_025030583.1
XP_015678082.1,XP_007426344.2
XP_015680812.1,XP_025027124.1
XP_015666877.1,XP_007437033.1
XP_015671535.1,XP_007438724.1
XP_015672638.1,XP_025020267.1
XP_015668681.1,XP_007440468.2
XP_015681989.1,XP_007434106.1
XP_015683461.1,XP_025022454.1
XP_029142625.1,XP_025029084.1
XP_015669149.1,XP_025029431.1
XP_015683919.1,XP_007434432.1
XP_015683901.1,XP_015744426.2
XP_015678611.1,XP_007436884.1
XP_029139094.1,XP_007430459.1
XP_029138944.1,XP_025030846.1
XP_015684961.1,XP_025029484.1
XP_015677156.1,XP_007427392.1
XP_029142906.1,XP_025021959.1
XP_029140858.1,XP_025024771.1
XP_015679832.1,XP_007442222.1
XP_029139260.1,XP_007440396.1
XP_029142766.1,XP_025030779.1
XP_015684624.1,XP_007442461.1
XP_015671737.1,XP_007438822.1
XP_015667270.2,XP_007423470.1
XP_015667740.1,XP_007427968.1
XP_029139035.1,XP_025027668.1
XP_015668846.1,XP_025022774.1
XP_015677266.1,XP_025024436.1
XP_015674273.1,XP_025025424.1
XP_015665709.1,XP_025030025.1
XP_015667026.1,XP_007429789.1
XP_015666436.2,XP_007426907.2
XP_015666438.1,XP_007426911.1
XP_029141734.1,XP_025020452.1
XP_029138945.1,XP_025032021.1
XP_015667222.1,XP_007437259.3
XP_015667214.1,XP_025024586.1
XP_015667262.1,XP_025029659.1
XP_029139524.1,XP_025032228.1
XP_015686997.1,XP_025025840.1
XP_015666874.1,XP_007432726.1
XP_015673017.1,XP_025021578.1
XP_015674789.1,XP_007443585.1
XP_015677786.1,XP_025020536.1
XP_029138822.1,XP_007424201.1
XP_029139892.1,XP_025022929.1
XP_015671041.1,XP_007428316.1
XP_015681152.1,XP_007420904.2
XP_029141549.1,XP_025029553.1
XP_015682067.1,XP_015746566.2
XP_015668000.1,XP_007423233.1
XP_015668964.1,XP_007444198.1
XP_029140984.1,XP_025022634.1
XP_029140145.1,XP_025024662.1
XP_029143128.1,XP_025031342.1
XP_015681439.1,XP_025019416.1
