P_Mucros.pep,N_naja.pep
XP_015673284.1,Nana14147-RA
XP_015687752.1,Nana23058-RA
XP_029143192.1,Nana23059-RA
XP_015669714.1,Nana19553-RA
XP_015687799.1,Nana23076-RA
XP_029142952.1,Nana19536-RA
XP_015686183.1,Nana19535-RA
XP_015687655.1,Nana14166-RA
XP_015686239.1,Nana19530-RA
XP_029140582.1,Nana17712-RA
XP_015687763.1,Nana23080-RA
XP_029143194.1,Nana23082-RA
XP_015673085.1,Nana19513-RA
XP_015673095.1,Nana19512-RA
XP_015684524.1,Nana14179-RA
XP_015687768.1,Nana23091-RA
XP_029140229.1,Nana19586-RA
XP_015665550.1,Nana17740-RA
XP_029139919.1,Nana17756-RA
XP_015678649.2,Nana14184-RB
XP_015678643.1,Nana14186-RA
XP_015687784.1,Nana23125-RB
XP_015687785.1,Nana23126-RA
XP_015676353.1,Nana26792-RA
XP_015672737.1,Nana19604-RA
XP_015666540.1,Nana26615-RA
XP_015676428.1,Nana26812-RA
XP_015665976.1,Nana23152-RA
XP_015671009.1,Nana14239-RA
XP_015667981.1,Nana26557-RA
XP_015678087.1,Nana26361-RA
XP_015672392.1,Nana26870-RA
XP_015671010.1,Nana14250-RA
XP_015672391.1,Nana26871-RA
XP_015665884.1,Nana23183-RA
XP_015668082.1,Nana14259-RA
XP_015677036.1,Nana18739-RA
XP_015665929.1,Nana23188-RA
XP_015665926.1,Nana23193-RA
XP_015665880.2,Nana23205-RA
XP_015665972.2,Nana23206-RA
XP_015685171.1,Nana26317-RA
XP_015687816.1,Nana26461-RA
XP_015665906.1,Nana23244-RA
XP_015667327.1,Nana26397-RA
XP_015681629.1,Nana26404-RA
XP_015682547.2,Nana14294-RA
XP_015684392.1,Nana29706-RA
XP_015687830.1,Nana26431-RA
XP_015678531.1,Nana26310-RA
XP_015678835.1,Nana18310-RA
XP_015674984.1,Nana14041-RA
XP_029140276.1,Nana29675-RA
XP_015671926.1,Nana29663-RA
XP_015665872.1,Nana23269-RA
XP_015665893.1,Nana23274-RA
XP_015671922.1,Nana29659-RA
XP_015676828.1,Nana14034-RA
XP_015676829.1,Nana14033-RA
XP_015677124.1,Nana14030-RA
XP_015677127.1,Nana14029-RA
XP_015669036.1,Nana29645-RA
XP_029138819.1,Nana23364-RA
XP_029141463.1,Nana29554-RA
XP_015672464.1,Nana13966-RA
XP_015667537.1,Nana13960-RA
XP_015665665.1,Nana23330-RA
XP_015688014.2,Nana29588-RA
XP_015667551.1,Nana13952-RA
XP_015671828.1,Nana13940-RA
XP_015674807.1,Nana26199-RA
XP_015681990.1,Nana26191-RA
XP_015680665.1,Nana13923-RA
XP_029141273.1,Nana29614-RA
XP_015673787.1,Nana13920-RA
XP_015665636.1,Nana23292-RA
XP_015673790.2,Nana13912-RA
XP_015673488.1,Nana13899-RA
XP_015675316.1,Nana26174-RA
XP_015675309.1,Nana26173-RA
XP_015673485.1,Nana13891-RA
XP_029142299.1,Nana18383-RA
XP_015673490.1,Nana13888-RA
XP_015671066.1,Nana13884-RA
XP_015672980.1,Nana26160-RA
XP_015686065.1,Nana26066-RA
XP_015671061.1,Nana13875-RA
XP_015671057.1,Nana13872-RA
XP_015671068.1,Nana13865-RA
XP_015687044.2,Nana08307-RA
XP_015683295.1,Nana29377-RA
XP_015670104.1,Nana29449-RA
XP_015669270.1,Nana13831-RA
XP_015669271.1,Nana13829-RB
XP_015679061.1,Nana29476-RA
XP_029140508.1,Nana25892-RA
XP_015672486.1,Nana13787-RA
XP_015672496.1,Nana13779-RA
XP_015685231.1,Nana13666-RA
XP_015682061.1,Nana13654-RA
XP_015672137.1,Nana13652-RA
XP_015683431.1,Nana25804-RA
XP_015667977.1,Nana25764-RA
XP_015667970.1,Nana25766-RA
XP_015679398.1,Nana24399-RA
XP_015679396.1,Nana24401-RA
XP_015678283.1,Nana13636-RA
XP_029139781.1,Nana24446-RA
XP_015683135.1,Nana29271-RA
XP_015681159.1,Nana29273-RA
XP_029140357.1,Nana13621-RA
XP_015681238.1,Nana13512-RA
XP_015670249.1,Nana24531-RA
XP_029141838.1,Nana13469-RA
XP_015678073.1,Nana24556-RA
XP_015672415.2,Nana24560-RA
XP_015669298.1,Nana24572-RA
XP_015682846.1,Nana13355-RA
XP_015682585.1,Nana24630-RA
XP_015682586.1,Nana24632-RA
XP_015687444.1,Nana18499-RA
XP_015669427.1,Nana18268-RA
XP_029140646.1,Nana24668-RA
XP_015674917.1,Nana24678-RA
XP_015684366.1,Nana18470-RA
XP_015682849.1,Nana18460-RA
XP_015670624.1,Nana24693-RA
XP_015670623.1,Nana24694-RA
XP_015678741.1,Nana18573-RA
XP_015669616.1,Nana24711-RA
XP_015673203.1,Nana24765-RA
XP_015673209.1,Nana24770-RA
XP_015686470.1,Nana18144-RA
XP_029140299.1,Nana24774-RA
XP_015678435.1,Nana31158-RA
XP_029141290.1,Nana31159-RA
XP_015675608.1,Nana24795-RA
XP_015678445.2,Nana31165-RA
XP_015675607.1,Nana24796-RA
XP_015683601.1,Nana24804-RA
XP_015687399.1,Nana24808-RA
XP_015677846.1,Nana24832-RA
XP_015674479.1,Nana24844-RB
XP_015687260.1,Nana18176-RA
XP_015687273.2,Nana18189-RA
XP_015677908.1,Nana24865-RA
XP_015677275.1,Nana24882-RA
XP_015670006.1,Nana17997-RA
XP_015672665.1,Nana18005-RA
XP_015685115.2,Nana24915-RA
XP_015677034.1,Nana18013-RA
XP_015671516.1,Nana24917-RA
XP_015671498.1,Nana24921-RA
XP_029141163.1,Nana18020-RA
XP_015677774.1,Nana18024-RA
XP_029139968.1,Nana24927-RA
XP_015671396.1,Nana24928-RA
XP_015668501.1,Nana25195-RA
XP_015671373.1,Nana24930-RA
XP_015671349.1,Nana24933-RA
XP_015679471.1,Nana18771-RA
XP_015682552.1,Nana18770-RA
XP_015670339.1,Nana24940-RA
XP_015669825.1,Nana18756-RA
XP_015672347.1,Nana24954-RA
XP_015669097.1,Nana24959-RA
XP_029140558.1,Nana24996-RA
XP_015671676.2,Nana25002-RA
XP_015674824.1,Nana18743-RA
XP_015670723.1,Nana25017-RA
XP_029140087.1,Nana18673-RA
XP_015675043.1,Nana18654-RA
XP_015670735.1,Nana25024-RA
XP_015675042.1,Nana18653-RA
XP_015675034.1,Nana18652-RA
XP_015673844.2,Nana18647-RA
XP_029139842.1,Nana25032-RA
XP_015670712.1,Nana25037-RA
XP_015680724.1,Nana17937-RA
XP_015687166.1,Nana25052-RA
XP_015687167.1,Nana25054-RA
XP_015671934.1,Nana17960-RA
XP_015671936.1,Nana17964-RA
XP_015669901.1,Nana25162-RA
XP_029140462.1,Nana18084-RA
XP_015670366.1,Nana25142-RA
XP_015672519.1,Nana25138-RA
XP_029140174.1,Nana25133-RA
XP_015681831.2,Nana18114-RA
XP_015684419.1,Nana18115-RA
XP_015682475.2,Nana18129-RA
XP_015678774.1,Nana18132-RA
XP_015670579.2,Nana17906-RA
XP_015670581.1,Nana17901-RA
XP_015682445.1,Nana17882-RA
XP_015674464.1,Nana17875-RA
XP_015666700.1,Nana17869-RA
XP_015682687.1,Nana25301-RA
XP_015682638.1,Nana17592-RA
XP_029141386.1,Nana25359-RA
XP_015682640.1,Nana17584-RA
XP_015687596.1,Nana25367-RA
XP_015684511.1,Nana25370-RA
XP_015679320.1,Nana17576-RA
XP_015679406.1,Nana25378-RA
XP_015682676.1,Nana25415-RA
XP_015682843.1,Nana17540-RA
XP_015683996.1,Nana17364-RA
XP_015667629.1,Nana12584-RA
XP_015682794.1,Nana12588-RA
XP_015676876.1,Nana12333-RA
XP_015667220.1,Nana12346-RA
XP_015667264.1,Nana12351-RA
XP_015678367.1,Nana12356-RA
XP_015678369.1,Nana12357-RA
XP_015678368.1,Nana12360-RA
XP_015675454.2,Nana12388-RA
XP_015672610.1,Nana12390-RA
XP_015675576.1,Nana12407-RA
XP_015680573.1,Nana12315-RA
XP_015668151.1,Nana12273-RA
XP_015685387.1,Nana12251-RA
XP_015671913.1,Nana12245-RA
XP_015671916.1,Nana12238-RA
XP_015668183.1,Nana12230-RA
XP_015678194.1,Nana12222-RA
XP_015674909.1,Nana12185-RA
XP_015674027.1,Nana12157-RA
XP_015674028.1,Nana12156-RA
XP_015670148.1,Nana12125-RA
XP_015671622.1,Nana12092-RA
XP_015679962.1,Nana12084-RB
XP_015687422.1,Nana12058-RA
XP_015687430.2,Nana12056-RA
XP_015669450.1,Nana12038-RA
XP_015670746.1,Nana11852-RA
XP_015677936.1,Nana11843-RA
XP_015677935.1,Nana11833-RA
XP_015678496.1,Nana11814-RA
XP_015672441.1,Nana11795-RA
XP_015681736.1,Nana11781-RA
XP_015674014.1,Nana11734-RA
XP_015669961.1,Nana11677-RA
XP_015682978.1,Nana11650-RA
XP_015672162.2,Nana11642-RA
XP_015682544.1,Nana11630-RA
XP_015673520.1,Nana11612-RA
XP_015676110.1,Nana11584-RA
XP_015676105.1,Nana11575-RA
XP_029140805.1,Nana11572-RA
XP_015674568.1,Nana05257-RA
XP_015674564.1,Nana05253-RA
XP_015677570.1,Nana05247-RB
XP_015677569.1,Nana05246-RA
XP_015668564.1,Nana05222-RA
XP_015671628.1,Nana05213-RA
XP_015674696.1,Nana11405-RA
XP_015683027.1,Nana11389-RA
XP_015675069.1,Nana11452-RA
XP_015675062.1,Nana11442-RA
XP_015676143.1,Nana10200-RA
XP_029139442.1,Nana05774-RA
XP_015676652.1,Nana10186-RA
XP_015681830.1,Nana05789-RA
XP_015679671.1,Nana05798-RA
XP_015679670.1,Nana05799-RA
XP_015674196.1,Nana05731-RA
XP_015683130.1,Nana05573-RA
XP_015674557.1,Nana05578-RA
XP_029142781.1,Nana10554-RA
XP_029142752.1,Nana10549-RA
XP_015685056.1,Nana10547-RA
XP_029141499.1,Nana05583-RA
XP_029139922.1,Nana05566-RA
XP_015682206.1,Nana05542-RA
XP_015673757.1,Nana10267-RA
XP_029142176.1,Nana05538-RA
XP_015673763.1,Nana10258-RA
XP_015673764.1,Nana10256-RA
XP_015675714.1,Nana10231-RA
XP_029141257.1,Nana10820-RA
XP_015668098.1,Nana05416-RA
XP_015668099.1,Nana05414-RA
XP_015668104.1,Nana05406-RA
XP_029139304.1,Nana05402-RA
XP_015668096.1,Nana05401-RA
XP_015683025.1,Nana05396-RA
XP_015669729.1,Nana05356-RA
XP_015669727.1,Nana05355-RA
XP_015669717.1,Nana05350-RA
XP_015668767.2,Nana10851-RA
XP_029139435.1,Nana10870-RA
XP_015674867.1,Nana05310-RA
XP_015668783.1,Nana10885-RA
XP_015674861.1,Nana05303-RA
XP_015674859.1,Nana05300-RC
XP_015674858.1,Nana05299-RA
XP_015672985.1,Nana05271-RA
XP_015681694.1,Nana05275-RA
XP_015669063.1,Nana05167-RA
XP_015671205.1,Nana05126-RA
XP_015671193.1,Nana05125-RA
XP_015681244.1,Nana05113-RA
XP_015681284.1,Nana05110-RA
XP_015682630.1,Nana12626-RA
XP_015677911.1,Nana12665-RA
XP_015670435.1,Nana10591-RA
XP_015680557.1,Nana05014-RA
XP_015667738.1,Nana10691-RA
XP_015667753.1,Nana10692-RA
XP_015680918.1,Nana05059-RA
XP_015667722.1,Nana10728-RA
XP_015679609.1,Nana04881-RA
XP_029141559.1,Nana04883-RA
XP_015687200.1,Nana04845-RA
XP_015682528.1,Nana04864-RA
XP_015682532.1,Nana04865-RA
XP_015673949.1,Nana04833-RA
XP_015677971.2,Nana04812-RA
XP_015675469.1,Nana10078-RA
XP_015686058.1,Nana04754-RA
XP_015669563.1,Nana04751-RA
XP_015679276.1,Nana04732-RA
XP_015679281.1,Nana04727-RA
XP_015683949.1,Nana04705-RA
XP_029141852.1,Nana04700-RA
XP_015675502.1,Nana04641-RA
XP_029142971.1,Nana04611-RA
XP_029141285.1,Nana10105-RA
XP_015671812.1,Nana10178-RA
XP_029142958.1,Nana04605-RA
XP_015669397.1,Nana10171-RA
XP_015669452.1,Nana10170-RA
XP_015676683.1,Nana04545-RA
XP_029141245.1,Nana04529-RA
XP_015678145.1,Nana04528-RA
XP_015677948.1,Nana10135-RB
XP_015677397.1,Nana10113-RA
XP_029139823.1,Nana09740-RA
XP_015675109.1,Nana04395-RA
XP_015670828.1,Nana09736-RA
XP_015670682.1,Nana09733-RA
XP_015677559.1,Nana04383-RA
XP_029141347.1,Nana04371-RA
XP_015678692.1,Nana04369-RA
XP_015678732.1,Nana04362-RB
XP_015683865.1,Nana04360-RA
XP_015675388.1,Nana09676-RA
XP_015675181.1,Nana04348-RA
XP_015675390.1,Nana09672-RA
XP_015675391.1,Nana09670-RA
XP_015679650.1,Nana09634-RA
XP_015667450.1,Nana04323-RA
XP_015667439.1,Nana04321-RA
XP_015667349.1,Nana04309-RA
XP_015677045.1,Nana09297-RA
XP_029140898.1,Nana04270-RA
XP_015678259.1,Nana09326-RA
XP_029140710.1,Nana04253-RA
XP_015673087.1,Nana03760-RA
XP_015669463.1,Nana03767-RA
XP_015680984.1,Nana09379-RA
XP_015673127.1,Nana03796-RA
XP_015673126.1,Nana03802-RA
XP_029140780.1,Nana03873-RA
XP_029141008.1,Nana09416-RA
XP_015685546.1,Nana09461-RA
XP_015680502.1,Nana04095-RA
XP_015675188.1,Nana09483-RA
XP_015680503.1,Nana04083-RA
XP_015685424.1,Nana04082-RA
XP_015676038.1,Nana04081-RA
XP_015673248.1,Nana04059-RA
XP_015677316.1,Nana09520-RA
XP_015670535.1,Nana09531-RA
XP_015670536.1,Nana09532-RA
XP_029139813.1,Nana09539-RA
XP_015667274.1,Nana09553-RA
XP_015667265.1,Nana09556-RA
XP_015667170.1,Nana09563-RA
XP_015670678.2,Nana03987-RB
XP_029140106.1,Nana03941-RA
XP_029139923.1,Nana09578-RA
XP_015667936.1,Nana03678-RA
XP_015681010.1,Nana09606-RA
XP_015669605.1,Nana03643-RA
XP_015678225.1,Nana09205-RA
XP_015678226.1,Nana09203-RA
XP_015686530.2,Nana03069-RA
XP_015678290.1,Nana09067-RA
XP_015679414.1,Nana09051-RA
XP_015674202.1,Nana09050-RA
XP_015674140.1,Nana09038-RA
XP_015672127.1,Nana01324-RA
XP_015670748.1,Nana08978-RA
XP_015670755.1,Nana08972-RA
XP_015676286.1,Nana03192-RA
XP_015667805.1,Nana02841-RA
XP_015672625.1,Nana03278-RA
XP_015667838.1,Nana02843-RA
XP_015680307.1,Nana08807-RA
XP_015679804.1,Nana02873-RA
XP_015684832.1,Nana08817-RA
XP_015681026.1,Nana02990-RA
XP_015678585.1,Nana08829-RA
XP_015679764.1,Nana08835-RA
XP_015670994.1,Nana02828-RA
XP_029138975.1,Nana02813-RA
XP_015666465.1,Nana02809-RA
XP_015666525.1,Nana02804-RA
XP_015677924.1,Nana02776-RA
XP_015673186.1,Nana08875-RA
XP_015673183.1,Nana08882-RA
XP_015671896.1,Nana00991-RA
XP_015674168.1,Nana02696-RA
XP_015674182.1,Nana02686-RA
XP_015674160.1,Nana02685-RA
XP_015682608.1,Nana02788-RA
XP_015679016.1,Nana02759-RA
XP_015669028.1,Nana02755-RA
XP_029139247.1,Nana02979-RA
XP_015679982.1,Nana08680-RA
XP_015673384.1,Nana08661-RA
XP_015667837.1,Nana02937-RA
XP_029139241.1,Nana02923-RA
XP_015674907.1,Nana08630-RA
XP_015669246.1,Nana02889-RA
XP_015678039.1,Nana02663-RA
XP_029140257.1,Nana08613-RA
XP_015668539.1,Nana02608-RA
XP_029139389.1,Nana02607-RA
XP_015677118.1,Nana02577-RA
XP_015668063.1,Nana08570-RA
XP_015679521.1,Nana02563-RA
XP_015679526.1,Nana02562-RA
XP_015679513.1,Nana08522-RA
XP_015671639.1,Nana02538-RA
XP_015671352.1,Nana08511-RA
XP_015682939.1,Nana02515-RA
XP_015682940.1,Nana02514-RA
XP_015676714.1,Nana02413-RA
XP_015671346.2,Nana08503-RA
XP_015668544.1,Nana02612-RA
XP_015677826.1,Nana08488-RA
XP_015677825.1,Nana08487-RA
XP_029140879.1,Nana02639-RA
XP_015674615.2,Nana02642-RA
XP_015678229.1,Nana02467-RA
XP_015680349.1,Nana08441-RA
XP_015671688.1,Nana08393-RA
XP_029141322.1,Nana02341-RA
XP_015677306.1,Nana27055-RA
XP_015680864.1,Nana02180-RA
XP_015681003.1,Nana02227-RA
XP_015668339.1,Nana02247-RA
XP_015668352.1,Nana02252-RA
XP_015669653.1,Nana02004-RA
XP_015683189.1,Nana02027-RA
XP_015677586.1,Nana08327-RA
XP_029142510.1,Nana02047-RA
XP_015687040.1,Nana08305-RA
XP_015677057.1,Nana02068-RA
XP_015678376.1,Nana02075-RA
XP_015678579.2,Nana08279-RA
XP_015680449.1,Nana08278-RA
XP_015676606.1,Nana02119-RA
XP_015687595.1,Nana02099-RA
XP_015684947.1,Nana08252-RA
XP_015683762.1,Nana08176-RA
XP_015671121.1,Nana02087-RA
XP_029141651.1,Nana08114-RA
XP_015667198.1,Nana22020-RA
XP_015677217.1,Nana08076-RA
XP_015687248.1,Nana08075-RA
XP_015680866.1,Nana08060-RA
XP_015672296.1,Nana02285-RA
XP_015672297.1,Nana02290-RA
XP_015677223.1,Nana02299-RA
XP_029141017.1,Nana02302-RA
XP_015677385.1,Nana07980-RA
XP_015677372.1,Nana07977-RA
XP_015683325.1,Nana07949-RA
XP_015670583.1,Nana10633-RA
XP_015677472.1,Nana07877-RA
XP_015681926.1,Nana07925-RA
XP_015681925.1,Nana07926-RA
XP_015677850.1,Nana01833-RB
XP_015670087.1,Nana01694-RA
XP_029142183.1,Nana01708-RA
XP_015682449.1,Nana01709-RA
XP_015672336.1,Nana01723-RA
XP_015672176.1,Nana01524-RA
XP_015675301.2,Nana07639-RA
XP_015682698.1,Nana01569-RA
XP_015676099.1,Nana01592-RA
XP_015676098.1,Nana01593-RA
XP_015675595.1,Nana01596-RA
XP_015675372.1,Nana01610-RA
XP_015679883.1,Nana01615-RA
XP_015679887.2,Nana01617-RA
XP_015680397.1,Nana01623-RA
XP_015680393.1,Nana01626-RA
XP_015680391.1,Nana01628-RA
XP_015674527.1,Nana01635-RA
XP_015674529.1,Nana01637-RA
XP_015674531.1,Nana01639-RA
XP_029142282.1,Nana07511-RA
XP_015673924.1,Nana01658-RA
XP_015679402.1,Nana01369-RA
XP_015676543.1,Nana01350-RA
XP_015673575.1,Nana01401-RA
XP_015673538.1,Nana01404-RA
XP_015670269.1,Nana01053-RA
XP_015670260.1,Nana01062-RA
XP_015670150.1,Nana01108-RA
XP_015678318.1,Nana01164-RA
XP_015675117.1,Nana01347-RA
XP_015675118.1,Nana01346-RA
XP_015675116.1,Nana01343-RA
XP_029141844.1,Nana01308-RA
XP_015676434.1,Nana01299-RA
XP_015676436.1,Nana01298-RA
XP_029142121.1,Nana01285-RA
XP_015675668.1,Nana01272-RA
XP_015675670.1,Nana01268-RA
XP_015676443.1,Nana00920-RA
XP_015667528.1,Nana00909-RA
XP_015667552.1,Nana00903-RA
XP_015684884.1,Nana17194-RA
XP_015680805.1,Nana37128-RA
XP_015667677.1,Nana31020-RA
XP_029139449.1,Nana36047-RA
XP_015671616.1,Nana14993-RA
XP_015685987.1,Nana37043-RA
XP_015683443.1,Nana00474-RA
XP_015676177.1,Nana32520-RA
XP_015682597.1,Nana08967-RA
XP_015676553.1,Nana00458-RA
XP_015668392.1,Nana29024-RA
XP_015678140.1,Nana35493-RA
XP_015667470.2,Nana34575-RA
XP_015676042.1,Nana14202-RA
XP_015679624.1,Nana00282-RA
XP_015676076.1,Nana32299-RA
XP_015681051.1,Nana33779-RA
XP_015685213.1,Nana35840-RB
XP_015685491.1,Nana33208-RB
XP_015680392.1,Nana01629-RA
XP_015667457.1,Nana34611-RA
XP_029142890.1,Nana33337-RA
XP_015678815.1,Nana36694-RA
XP_015681903.1,Nana06409-RA
XP_015669693.1,Nana22878-RA
XP_015673405.1,Nana27954-RA
XP_015667418.1,Nana33624-RF
XP_029140889.1,Nana30811-RA
XP_015680528.1,Nana31605-RA
XP_015666640.1,Nana28069-RA
XP_029140328.1,Nana27936-RA
XP_015671071.1,Nana00570-RA
XP_015673464.2,Nana28210-RA
XP_015669556.1,Nana11050-RA
XP_015673743.1,Nana33681-RA
XP_015684177.1,Nana36805-RA
XP_015666595.1,Nana28016-RA
XP_029142188.1,Nana06529-RA
XP_015684379.1,Nana32417-RA
XP_015680405.1,Nana30082-RA
XP_029141013.1,Nana31381-RA
XP_015684424.1,Nana06350-RA
XP_029142638.1,Nana06347-RA
XP_015681987.1,Nana00139-RA
XP_015681984.1,Nana00142-RA
XP_015687010.1,Nana22783-RA
XP_029142059.1,Nana35901-RA
XP_015673561.1,Nana01997-RA
XP_015682864.1,Nana05695-RA
XP_015678084.1,Nana32429-RA
XP_015667566.1,Nana31044-RA
XP_015668874.1,Nana36154-RA
XP_015675619.1,Nana13711-RA
XP_029141416.1,Nana18715-RA
XP_015665428.1,Nana06208-RA
XP_029141088.1,Nana36273-RA
XP_015687220.1,Nana35891-RA
XP_015680916.1,Nana05058-RA
XP_029138923.1,Nana06291-RA
XP_015671281.1,Nana34718-RA
XP_015672507.1,Nana12454-RA
XP_015674815.1,Nana26194-RA
XP_029143093.1,Nana35877-RA
XP_029142920.1,Nana06683-RA
XP_015683993.1,Nana17404-RA
XP_015666175.1,Nana06272-RA
XP_015683867.1,Nana17810-RA
XP_015687724.1,Nana30188-RA
XP_015674452.1,Nana31455-RA
XP_015683855.1,Nana17809-RA
XP_015676967.1,Nana36012-RA
XP_015668391.1,Nana29016-RA
XP_015680831.1,Nana35819-RA
XP_015676968.1,Nana36017-RA
XP_015685326.1,Nana00713-RA
XP_015681681.1,Nana06734-RA
XP_015680854.1,Nana35612-RA
XP_015675849.1,Nana37619-RA
XP_015665549.1,Nana06109-RA
XP_015686275.1,Nana07615-RA
XP_015669058.1,Nana28845-RA
XP_015682270.2,Nana35703-RA
XP_015671099.1,Nana00564-RA
XP_015674410.1,Nana03788-RA
XP_015678252.1,Nana06748-RA
XP_015680612.1,Nana01751-RA
XP_029138841.1,Nana23357-RA
XP_015685388.1,Nana37218-RA
XP_015685850.1,Nana20236-RA
XP_015678142.1,Nana35481-RA
XP_029142424.1,Nana07343-RA
XP_015668762.1,Nana10844-RA
XP_015670468.1,Nana03365-RA
XP_015666255.1,Nana32057-RA
XP_015670467.1,Nana03366-RA
XP_015670463.1,Nana03367-RA
XP_015670466.1,Nana03369-RA
XP_029142030.1,Nana36500-RA
XP_015682178.1,Nana27911-RA
XP_029139415.1,Nana38726-RA
XP_015666324.1,Nana15801-RA
XP_015687114.1,Nana36732-RA
XP_015681905.1,Nana05913-RA
XP_015676788.1,Nana34056-RA
XP_015683073.1,Nana36347-RA
XP_015667157.1,Nana29839-RA
XP_015677727.1,Nana39370-RA
XP_029140900.1,Nana00453-RA
XP_015667177.1,Nana29756-RA
XP_015676509.1,Nana30799-RA
XP_029139935.1,Nana34740-RA
XP_029141544.1,Nana24246-RA
XP_015667373.1,Nana33603-RA
XP_029142270.1,Nana30671-RA
XP_029139877.1,Nana29438-RA
XP_015678843.1,Nana22247-RA
XP_015668631.1,Nana38909-RA
XP_015667174.1,Nana29758-RA
XP_015678135.1,Nana22172-RA
XP_015667138.1,Nana29771-RA
XP_015682317.1,Nana30514-RA
XP_015683906.1,Nana35830-RA
XP_015678512.1,Nana19304-RA
XP_015678550.1,Nana30726-RA
XP_015679268.1,Nana19266-RA
XP_015675514.1,Nana04960-RA
XP_029140632.1,Nana03161-RA
XP_029138775.1,Nana32654-RA
XP_015683642.1,Nana37243-RA
XP_015678342.1,Nana37015-RA
XP_015669362.1,Nana30921-RA
XP_029139063.1,Nana31793-RA
XP_029139177.1,Nana34598-RA
XP_015666922.1,Nana31809-RA
XP_029139064.1,Nana31811-RE
XP_029139209.1,Nana11018-RA
XP_029142031.1,Nana36142-RA
XP_015680057.1,Nana30704-RA
XP_015665516.1,Nana06198-RA
XP_015670442.1,Nana10584-RA
XP_029142013.1,Nana12445-RA
XP_015670990.1,Nana25508-RA
XP_029138853.1,Nana23597-RA
XP_015665718.1,Nana23605-RA
XP_015683500.1,Nana25561-RA
XP_015670874.1,Nana04666-RA
XP_015673463.2,Nana28203-RA
XP_015673465.1,Nana28215-RA
XP_015666172.1,Nana06277-RA
XP_015668890.1,Nana36258-RA
XP_015674271.1,Nana32157-RA
XP_029142310.1,Nana36360-RA
XP_029141672.1,Nana32235-RA
XP_015687635.1,Nana27183-RA
XP_029140675.1,Nana19423-RA
XP_015679717.1,Nana20133-RB
XP_015672455.1,Nana30346-RA
XP_029142058.1,Nana35899-RA
XP_015672453.1,Nana30344-RA
XP_015683155.1,Nana39367-RA
XP_015674882.1,Nana08030-RA
XP_015673227.1,Nana00736-RA
XP_029140116.1,Nana26093-RA
XP_015684620.1,Nana24227-RA
XP_015687231.1,Nana35887-RA
XP_015671905.2,Nana00997-RA
XP_029141737.1,Nana23935-RA
XP_015673970.2,Nana26683-RA
XP_015676068.1,Nana32276-RA
XP_015666900.1,Nana28126-RA
XP_015675470.1,Nana00721-RA
XP_015668822.1,Nana36068-RA
XP_029141901.1,Nana23908-RA
XP_015687154.1,Nana36713-RA
XP_029140892.1,Nana30831-RA
XP_015671729.1,Nana01992-RA
XP_029140992.1,Nana17531-RA
XP_015681373.2,Nana09843-RA
XP_015672787.1,Nana25685-RA
XP_015681978.1,Nana39068-RA
XP_015667982.1,Nana12904-RA
XP_015674498.1,Nana03513-RA
XP_015676693.1,Nana13557-RA
XP_029142494.1,Nana17450-RA
XP_015681030.1,Nana00071-RA
XP_015681754.1,Nana00501-RB
XP_015675439.1,Nana10366-RA
XP_015675441.1,Nana10379-RA
XP_015668017.1,Nana38226-RA
XP_015681553.1,Nana00360-RA
XP_029142208.1,Nana36442-RA
XP_015667358.1,Nana03415-RA
XP_015682282.2,Nana18728-RA
XP_015681630.1,Nana16923-RA
XP_029139088.1,Nana15726-RA
XP_015676386.1,Nana16925-RA
XP_015676994.1,Nana36095-RA
XP_015676992.1,Nana36090-RA
XP_015683359.1,Nana17096-RA
XP_015673316.1,Nana34515-RA
XP_015682480.1,Nana16875-RA
XP_015680673.1,Nana16870-RA
XP_015684169.1,Nana36909-RA
XP_015687736.1,Nana30179-RA
XP_015668464.1,Nana25202-RA
XP_029139463.1,Nana14801-RA
XP_015682025.1,Nana16761-RA
XP_029142457.1,Nana19064-RA
XP_015675942.1,Nana29955-RA
XP_015671566.1,Nana30394-RA
XP_015674483.1,Nana14824-RA
XP_015672749.1,Nana27292-RA
XP_015677321.1,Nana16741-RA
XP_015665426.1,Nana06200-RA
XP_015674001.1,Nana01287-RA
XP_015675023.1,Nana34457-RA
XP_015676210.1,Nana20922-RC
XP_015666891.1,Nana31813-RA
XP_029142658.1,Nana38845-RA
XP_015674960.1,Nana19615-RA
XP_015681756.1,Nana00499-RA
XP_015666600.1,Nana28028-RA
XP_015677002.2,Nana36010-RA
XP_015679263.1,Nana03585-RA
XP_015673613.1,Nana13613-RA
XP_015677895.1,Nana30502-RA
XP_015673612.1,Nana13616-RA
XP_029142794.1,Nana00087-RA
XP_015668827.1,Nana16644-RA
XP_015677768.1,Nana28314-RA
XP_015668949.1,Nana16649-RA
XP_015678096.1,Nana35456-RA
XP_015683749.1,Nana35020-RA
XP_015680121.2,Nana06361-RA
XP_029139292.1,Nana28873-RA
XP_015668061.1,Nana28865-RA
XP_029139293.1,Nana28862-RA
XP_015678628.1,Nana26754-RA
XP_015681946.1,Nana35905-RA
XP_029140285.1,Nana31348-RA
XP_015678247.1,Nana06767-RA
XP_015673059.1,Nana31358-RA
XP_015676480.1,Nana30829-RA
XP_015673043.1,Nana31362-RA
XP_015674117.1,Nana15044-RA
XP_015678106.2,Nana05829-RA
XP_015676731.1,Nana05830-RA
XP_015674126.2,Nana15060-RA
