CroVir_rnd1.all.maker.proteins.final,P_Mucros.pep
crovir-protein-13089,XP_015668390.1
crovir-protein-3600,XP_029141407.1
crovir-protein-700,XP_015682670.1
crovir-protein-16041,XP_015671365.1
crovir-protein-1513,XP_029142029.1
crovir-protein-5356,XP_015666314.1
crovir-protein-6906,XP_029140818.1
crovir-protein-485,XP_015687204.1
crovir-protein-11343,XP_029140554.1
crovir-protein-11353,XP_015674970.1
crovir-protein-3122,XP_015680190.1
crovir-protein-5340,XP_015666322.1
crovir-protein-11092,XP_015676242.1
crovir-protein-10152,XP_015675057.1
crovir-protein-5331,XP_015666312.2
crovir-protein-5335,XP_015666311.1
crovir-protein-6934,XP_015681056.1
crovir-protein-5329,XP_015666339.1
crovir-protein-10156,XP_015684660.2
crovir-protein-16175,XP_015687966.1
crovir-protein-13421,XP_015678957.1
crovir-protein-5325,XP_015666338.1
crovir-protein-372,XP_015681771.1
crovir-protein-630,XP_015669180.1
crovir-protein-13405,XP_015683469.1
crovir-protein-16928,XP_015676903.1
crovir-protein-4207,XP_015682245.1
crovir-protein-1168,XP_015683064.1
crovir-protein-12541,XP_015681537.2
crovir-protein-12422,XP_015679095.1
crovir-protein-12623,XP_015677514.1
crovir-protein-1902,XP_015671331.1
crovir-protein-603,XP_029139107.1
crovir-protein-16436,XP_015671267.2
crovir-protein-1331,XP_015682095.1
crovir-protein-16223,XP_015666956.1
crovir-protein-17456,XP_029142405.1
crovir-protein-2049,XP_015666108.1
crovir-protein-27,XP_015668192.1
crovir-protein-2051,XP_029138909.1
crovir-protein-17443,XP_015670926.1
crovir-protein-2055,XP_015666100.1
crovir-protein-9852,XP_015675471.1
crovir-protein-12779,XP_029139720.1
crovir-protein-8073,XP_015675000.2
crovir-protein-12374,XP_015667380.1
crovir-protein-16332,XP_015666882.1
crovir-protein-16329,XP_029139058.1
crovir-protein-16331,XP_015666944.2
crovir-protein-12366,XP_015667409.1
crovir-protein-12995,XP_015666644.1
crovir-protein-12046,XP_015669009.2
crovir-protein-744,XP_015685410.1
crovir-protein-12798,XP_015676536.1
crovir-protein-11031,XP_015666475.1
crovir-protein-1204,XP_015669396.1
crovir-protein-11523,XP_015678186.1
crovir-protein-1595,XP_015673332.1
crovir-protein-1000,XP_015675137.1
crovir-protein-15991,XP_029139217.1
crovir-protein-11249,XP_015687160.1
crovir-protein-8421,XP_015673955.1
crovir-protein-16313,XP_015678858.1
crovir-protein-8410,XP_015668535.1
crovir-protein-1231,XP_015669393.1
crovir-protein-10233,XP_015672159.1
crovir-protein-1009,XP_015675133.1
crovir-protein-10329,XP_029143119.1
crovir-protein-7633,XP_015673997.1
crovir-protein-12653,XP_015669057.1
crovir-protein-7586,XP_015671491.1
crovir-protein-16099,XP_029140963.1
crovir-protein-7070,XP_015675766.1
crovir-protein-16140,XP_015687934.1
crovir-protein-7651,XP_015672148.1
crovir-protein-8451,XP_015675088.1
crovir-protein-10306,XP_029139434.1
crovir-protein-11351,XP_015674969.1
crovir-protein-7081,XP_015675819.1
crovir-protein-1642,XP_015667443.1
crovir-protein-7576,XP_015671502.1
crovir-protein-7572,XP_015671503.1
crovir-protein-17188,XP_015684639.1
crovir-protein-1356,XP_015687120.1
crovir-protein-1429,XP_015678343.1
crovir-protein-13897,XP_015679769.1
crovir-protein-7577,XP_015671504.1
crovir-protein-13881,XP_015684487.1
crovir-protein-13879,XP_015678674.1
crovir-protein-16219,XP_015666913.1
crovir-protein-1620,XP_015667465.1
crovir-protein-10222,XP_015677594.1
crovir-protein-15081,XP_015667597.2
crovir-protein-10218,XP_015677593.1
crovir-protein-15055,XP_015667596.1
crovir-protein-8471,XP_029142017.1
crovir-protein-237,XP_015687916.1
crovir-protein-8341,XP_015682805.2
crovir-protein-12681,XP_015682952.1
crovir-protein-8289,XP_029142254.1
crovir-protein-11281,XP_015670784.1
crovir-protein-15843,XP_029140161.1
crovir-protein-1148,XP_015668251.1
crovir-protein-1061,XP_015671536.1
crovir-protein-14779,XP_015676564.1
crovir-protein-3597,XP_015681214.1
crovir-protein-11655,XP_015680669.1
crovir-protein-1435,XP_015681610.1
crovir-protein-11268,XP_029141501.1
crovir-protein-8284,XP_015674664.1
crovir-protein-11260,XP_015679419.1
crovir-protein-4378,XP_015683845.1
crovir-protein-17314,XP_015680059.1
crovir-protein-1577,XP_015680068.1
crovir-protein-17280,XP_015680065.1
crovir-protein-4372,XP_015683755.1
crovir-protein-15861,XP_015681799.1
crovir-protein-13180,XP_029140939.1
crovir-protein-36,XP_015668659.1
crovir-protein-16022,XP_015671364.1
crovir-protein-4364,XP_015672901.1
crovir-protein-16638,XP_015685356.1
crovir-protein-5828,XP_015666251.1
crovir-protein-2874,XP_029138852.1
crovir-protein-1479,XP_015682320.1
crovir-protein-17064,XP_015672785.1
crovir-protein-7616,XP_015670873.1
crovir-protein-11378,XP_015667390.2
crovir-protein-11319,XP_029139143.1
crovir-protein-6863,XP_029138808.1
crovir-protein-9873,XP_029139768.1
crovir-protein-7459,XP_015679010.1
crovir-protein-9712,XP_015674781.1
crovir-protein-16008,XP_015667582.1
crovir-protein-15275,XP_015675917.1
crovir-protein-16921,XP_015681841.1
crovir-protein-16650,XP_015675464.1
crovir-protein-8335,XP_015674331.1
crovir-protein-15930,XP_015685143.1
crovir-protein-89,XP_015674276.1
crovir-protein-90,XP_015674280.1
crovir-protein-11148,XP_015678021.1
crovir-protein-11135,XP_015678031.1
crovir-protein-132,XP_015680206.1
crovir-protein-11079,XP_015677619.1
crovir-protein-10376,XP_015669451.1
crovir-protein-6318,XP_015672467.1
crovir-protein-17320,XP_029139886.1
crovir-protein-920,XP_015687638.1
crovir-protein-13268,XP_015682238.1
crovir-protein-11235,XP_029141258.1
crovir-protein-8318,XP_015678923.1
crovir-protein-852,XP_015672453.1
crovir-protein-11219,XP_015671715.1
crovir-protein-12868,XP_015685234.2
crovir-protein-2094,XP_015667186.1
crovir-protein-6821,XP_015665480.1
crovir-protein-13331,XP_015674886.1
crovir-protein-858,XP_015684110.1
crovir-protein-17070,XP_015681067.1
crovir-protein-1700,XP_015683258.1
crovir-protein-13556,XP_015679533.1
crovir-protein-861,XP_015672093.1
crovir-protein-9412,XP_015688038.1
crovir-protein-871,XP_015672060.1
crovir-protein-13536,XP_015679590.1
crovir-protein-3406,XP_015679178.2
crovir-protein-868,XP_015672089.1
crovir-protein-16652,XP_015675462.1
crovir-protein-874,XP_015672065.1
crovir-protein-11076,XP_015677618.1
crovir-protein-11080,XP_015677622.1
crovir-protein-3084,XP_015677291.1
crovir-protein-16651,XP_015675465.1
crovir-protein-11078,XP_015677615.1
crovir-protein-16784,XP_015683052.1
crovir-protein-9696,XP_015671905.2
crovir-protein-12770,XP_029141654.1
crovir-protein-16302,XP_015676816.1
crovir-protein-3063,XP_015676884.1
crovir-protein-12575,XP_015668826.1
crovir-protein-9248,XP_015671405.1
crovir-protein-4003,XP_029139372.1
crovir-protein-9251,XP_015671404.1
crovir-protein-3066,XP_015683670.1
crovir-protein-1645,XP_015667432.2
crovir-protein-160,XP_015676063.1
crovir-protein-10987,XP_015679119.1
crovir-protein-5211,XP_015669755.1
crovir-protein-9167,XP_015679213.1
crovir-protein-3055,XP_015674590.1
crovir-protein-1374,XP_015687122.1
crovir-protein-5214,XP_015669749.1
crovir-protein-9279,XP_015677417.1
crovir-protein-9896,XP_029141757.1
crovir-protein-6718,XP_015666203.1
crovir-protein-16970,XP_015667631.1
crovir-protein-1407,XP_015678157.1
crovir-protein-9160,XP_015669303.1
crovir-protein-3044,XP_015681062.2
crovir-protein-664,XP_015675937.1
crovir-protein-16554,XP_029140998.1
crovir-protein-9808,XP_015685560.1
crovir-protein-11108,XP_015685692.1
crovir-protein-5219,XP_015669744.1
crovir-protein-4512,XP_015672447.1
crovir-protein-3045,XP_015679029.1
crovir-protein-16695,XP_029140210.1
crovir-protein-4520,XP_015672445.1
crovir-protein-6809,XP_015665415.1
crovir-protein-9181,XP_029143097.1
crovir-protein-14423,XP_015668454.1
crovir-protein-14419,XP_015668462.2
crovir-protein-225,XP_015687955.1
crovir-protein-14585,XP_015672251.1
crovir-protein-222,XP_015687914.2
crovir-protein-4875,XP_015672872.1
crovir-protein-8250,XP_029139525.1
crovir-protein-16671,XP_015682375.1
crovir-protein-10578,XP_015678944.1
crovir-protein-11246,XP_029143073.1
crovir-protein-17253,XP_015681281.1
crovir-protein-944,XP_015679024.1
crovir-protein-942,XP_029141421.1
crovir-protein-4870,XP_015681520.2
crovir-protein-10060,XP_029143049.1
crovir-protein-17102,XP_015674769.1
crovir-protein-6613,XP_015687564.1
crovir-protein-6615,XP_029143160.1
crovir-protein-14612,XP_015679464.1
crovir-protein-12385,XP_029140296.1
crovir-protein-15919,XP_015671326.2
crovir-protein-5470,XP_015671091.1
crovir-protein-2168,XP_015678493.1
crovir-protein-122,XP_015677795.1
crovir-protein-17095,XP_015679420.1
crovir-protein-130,XP_015680197.1
crovir-protein-13444,XP_015684696.1
crovir-protein-12633,XP_029141087.1
crovir-protein-16734,XP_015683345.1
crovir-protein-11178,XP_029141991.1
crovir-protein-4219,XP_015684296.1
crovir-protein-7000,XP_015676739.1
crovir-protein-17367,XP_015683989.1
crovir-protein-8259,XP_015667357.1
crovir-protein-8256,XP_015667358.1
crovir-protein-5358,XP_015670379.1
crovir-protein-6415,XP_015682280.1
crovir-protein-11345,XP_015676386.1
crovir-protein-8279,XP_015667355.1
crovir-protein-5386,XP_015667001.1
crovir-protein-74,XP_015687849.1
crovir-protein-12243,XP_015687470.1
crovir-protein-5384,XP_015666999.1
crovir-protein-10678,XP_015684042.1
crovir-protein-12469,XP_015684041.2
crovir-protein-15994,XP_015667578.1
crovir-protein-14721,XP_015675996.1
crovir-protein-16532,XP_029141836.1
crovir-protein-1592,XP_015673326.1
crovir-protein-16730,XP_029142400.1
crovir-protein-12953,XP_015673524.2
crovir-protein-12723,XP_015673523.1
crovir-protein-4834,XP_015682480.1
crovir-protein-12963,XP_015676227.1
crovir-protein-1574,XP_015673296.1
crovir-protein-16395,XP_015670935.2
crovir-protein-16402,XP_015670913.1
crovir-protein-5898,XP_015668703.1
crovir-protein-5901,XP_015668690.1
crovir-protein-17327,XP_015672780.1
crovir-protein-9981,XP_015673096.1
crovir-protein-5896,XP_015671833.1
crovir-protein-4856,XP_015679950.1
crovir-protein-5089,XP_015667865.1
crovir-protein-16420,XP_015670930.1
crovir-protein-6053,XP_015668035.1
crovir-protein-4882,XP_015672288.1
crovir-protein-1037,XP_015671543.2
crovir-protein-4884,XP_015672290.1
crovir-protein-4886,XP_015672287.1
crovir-protein-16776,XP_015685885.1
crovir-protein-16755,XP_029142827.1
crovir-protein-4001,XP_015668512.1
crovir-protein-4897,XP_015682756.1
crovir-protein-4899,XP_015675138.1
crovir-protein-9938,XP_015670298.1
crovir-protein-1601,XP_015673331.1
crovir-protein-10165,XP_029141401.1
crovir-protein-10169,XP_029141402.1
crovir-protein-5855,XP_015668902.1
crovir-protein-12111,XP_015672747.1
crovir-protein-14043,XP_029139858.1
crovir-protein-11347,XP_015686893.1
crovir-protein-16298,XP_029140265.1
crovir-protein-16287,XP_015672920.1
crovir-protein-9740,XP_015681140.1
crovir-protein-17441,XP_015672909.1
crovir-protein-6186,XP_015668091.1
crovir-protein-13039,XP_015668069.1
crovir-protein-14038,XP_015670827.2
crovir-protein-14034,XP_015670826.1
crovir-protein-12106,XP_015672772.2
crovir-protein-10833,XP_015680222.1
crovir-protein-16299,XP_015672916.1
crovir-protein-6191,XP_015677437.1
crovir-protein-975,XP_015680534.1
crovir-protein-4917,XP_015671854.1
crovir-protein-16291,XP_015672943.2
crovir-protein-8388,XP_029142406.1
crovir-protein-6193,XP_015677430.1
crovir-protein-9686,XP_015668594.1
crovir-protein-5378,XP_015669141.1
crovir-protein-11280,XP_015670776.1
crovir-protein-11263,XP_015679416.1
crovir-protein-8368,XP_015681886.1
crovir-protein-1579,XP_015673295.1
crovir-protein-16348,XP_015669111.1
crovir-protein-15095,XP_015669512.1
crovir-protein-9676,XP_015668571.1
crovir-protein-14226,XP_015675654.1
crovir-protein-11047,XP_015666471.1
crovir-protein-8367,XP_015679574.1
crovir-protein-6759,XP_015668939.2
crovir-protein-1019,XP_015679640.1
crovir-protein-8532,XP_015685026.1
crovir-protein-7555,XP_015675760.1
crovir-protein-17114,XP_015679965.1
crovir-protein-1027,XP_015683886.1
crovir-protein-10458,XP_015674956.1
crovir-protein-12922,XP_015672015.1
crovir-protein-16583,XP_015682350.1
crovir-protein-16491,XP_015686035.1
crovir-protein-16989,XP_015682348.1
crovir-protein-17009,XP_029141686.1
crovir-protein-2376,XP_015687148.1
crovir-protein-17259,XP_015680239.1
crovir-protein-14747,XP_029142757.1
crovir-protein-9855,XP_015675483.1
crovir-protein-11154,XP_015685478.1
crovir-protein-4958,XP_015673305.2
crovir-protein-9848,XP_015668479.2
crovir-protein-16100,XP_015676906.1
crovir-protein-12843,XP_029142504.1
crovir-protein-11189,XP_029139863.1
crovir-protein-527,XP_015674684.1
crovir-protein-509,XP_015681465.1
crovir-protein-12466,XP_015677002.2
crovir-protein-15311,XP_015673279.1
crovir-protein-6580,XP_015674776.1
crovir-protein-14816,XP_015674777.2
crovir-protein-4956,XP_015673328.1
crovir-protein-8186,XP_015682741.1
crovir-protein-6579,XP_015674775.1
crovir-protein-8184,XP_015682740.1
crovir-protein-12471,XP_015676982.1
crovir-protein-4951,XP_015675122.1
crovir-protein-14583,XP_029140599.1
crovir-protein-10296,XP_015684899.1
crovir-protein-4947,XP_015669066.1
crovir-protein-553,XP_015680003.1
crovir-protein-12939,XP_015667103.1
crovir-protein-11719,XP_015681624.1
crovir-protein-11159,XP_015668637.1
crovir-protein-4981,XP_015669471.1
crovir-protein-4204,XP_015678093.1
crovir-protein-4982,XP_029139574.1
crovir-protein-4986,XP_015669467.1
crovir-protein-5000,XP_015679154.1
crovir-protein-2262,XP_015683750.1
crovir-protein-2259,XP_029142474.1
crovir-protein-5015,XP_015687546.2
crovir-protein-5011,XP_015687541.1
crovir-protein-5016,XP_015687558.1
crovir-protein-13017,XP_015667050.1
crovir-protein-8743,XP_015678624.1
crovir-protein-5085,XP_015667846.2
crovir-protein-8732,XP_015678617.1
crovir-protein-10975,XP_015681946.1
crovir-protein-11575,XP_015673055.1
crovir-protein-11569,XP_015673037.1
crovir-protein-11574,XP_015673054.2
crovir-protein-15874,XP_015675280.1
crovir-protein-11573,XP_015673035.1
crovir-protein-11564,XP_015673052.1
crovir-protein-16176,XP_029138767.1
crovir-protein-5601,XP_015668599.1
crovir-protein-6968,XP_015673266.1
crovir-protein-17002,XP_015678247.1
crovir-protein-996,XP_029140745.1
crovir-protein-994,XP_015675781.1
crovir-protein-5053,XP_015679900.1
crovir-protein-6990,XP_015675381.1
crovir-protein-10852,XP_015683215.1
crovir-protein-15904,XP_029141984.1
crovir-protein-11549,XP_015673025.1
crovir-protein-15903,XP_015681643.1
crovir-protein-6991,XP_015675383.1
crovir-protein-6992,XP_015675384.1
crovir-protein-7014,XP_029142397.1
crovir-protein-7015,XP_029142433.1
crovir-protein-17417,XP_015684162.1
crovir-protein-5692,XP_015674124.1
crovir-protein-7026,XP_029141481.1
crovir-protein-5690,XP_015674125.1
crovir-protein-5691,XP_015674130.1
crovir-protein-5688,XP_029140460.1
crovir-protein-11527,XP_015675557.1
crovir-protein-5050,XP_015681452.1
crovir-protein-12754,XP_015675592.1
crovir-protein-17270,XP_015681699.1
crovir-protein-16556,XP_015686740.2
crovir-protein-12741,XP_015681234.1
crovir-protein-16801,XP_029142497.1
crovir-protein-5047,XP_015674602.1
crovir-protein-14996,XP_015674748.1
crovir-protein-15234,XP_015676367.1
crovir-protein-139,XP_015682207.1
crovir-protein-16947,XP_015679333.1
crovir-protein-10288,XP_015673594.1
crovir-protein-1571,XP_015683646.1
crovir-protein-15226,XP_015677748.1
crovir-protein-5041,XP_015672649.1
crovir-protein-10206,XP_015679586.1
crovir-protein-8602,XP_015676998.1
crovir-protein-5031,XP_015682126.1
crovir-protein-11485,XP_015680431.1
crovir-protein-15213,XP_015675722.1
crovir-protein-5022,XP_015668712.1
crovir-protein-16081,XP_015680892.1
crovir-protein-4361,XP_015676225.2
crovir-protein-16356,XP_015669125.1
crovir-protein-16353,XP_015669127.1
crovir-protein-371,XP_015681874.1
crovir-protein-10132,XP_029142044.1
crovir-protein-13021,XP_015666771.1
crovir-protein-6682,XP_015666198.1
crovir-protein-5152,XP_029140807.1
crovir-protein-4363,XP_015672889.1
crovir-protein-12628,XP_015680382.1
crovir-protein-12907,XP_015671993.1
crovir-protein-12605,XP_029141709.1
crovir-protein-5156,XP_015677333.1
crovir-protein-5351,XP_015666342.1
crovir-protein-5352,XP_015666334.1
crovir-protein-16564,XP_015680691.1
crovir-protein-16689,XP_015673401.1
crovir-protein-16542,XP_015680690.1
crovir-protein-16359,XP_015669142.1
crovir-protein-11194,XP_029141542.1
crovir-protein-3207,XP_015666559.2
crovir-protein-16369,XP_015669121.1
crovir-protein-10113,XP_015684843.1
crovir-protein-8149,XP_015673081.1
crovir-protein-16551,XP_015680682.1
crovir-protein-13551,XP_029142503.1
crovir-protein-6911,XP_015683087.1
crovir-protein-5164,XP_015676789.1
crovir-protein-5683,XP_015668799.1
crovir-protein-12661,XP_015669044.1
crovir-protein-11306,XP_015667345.1
crovir-protein-10489,XP_029140790.1
crovir-protein-11444,XP_015666012.1
crovir-protein-15747,XP_015681079.1
crovir-protein-15749,XP_015681090.1
crovir-protein-4811,XP_015679437.1
crovir-protein-7304,XP_015665765.1
crovir-protein-7305,XP_015675444.1
crovir-protein-8225,XP_015679338.1
crovir-protein-7341,XP_015675446.1
crovir-protein-5679,XP_015680218.1
crovir-protein-12670,XP_015669227.1
crovir-protein-12671,XP_015669221.1
crovir-protein-5181,XP_015668959.1
crovir-protein-6828,XP_015665548.1
crovir-protein-7344,XP_015670021.1
crovir-protein-5182,XP_015668956.1
crovir-protein-8237,XP_029139753.1
crovir-protein-3960,XP_015672515.1
crovir-protein-12679,XP_015676893.1
crovir-protein-12678,XP_029140962.1
crovir-protein-3958,XP_015672524.1
crovir-protein-9147,XP_015677446.1
crovir-protein-3948,XP_015681705.1
crovir-protein-1726,XP_015667891.1
crovir-protein-1349,XP_015679841.1
crovir-protein-1462,XP_015683514.1
crovir-protein-1446,XP_029142417.1
crovir-protein-7335,XP_015670038.1
crovir-protein-9796,XP_015669251.1
crovir-protein-5605,XP_029139398.1
crovir-protein-11100,XP_015677726.1
crovir-protein-15585,XP_015681648.1
crovir-protein-7337,XP_015675231.1
crovir-protein-6290,XP_015673276.1
crovir-protein-7312,XP_015681338.1
crovir-protein-946,XP_015679021.1
crovir-protein-6296,XP_015673288.1
crovir-protein-12703,XP_029141164.1
crovir-protein-11480,XP_015680526.1
crovir-protein-13891,XP_015667902.1
crovir-protein-676,XP_015679492.1
crovir-protein-13893,XP_015667882.1
crovir-protein-11632,XP_015674059.1
crovir-protein-5233,XP_015672245.1
crovir-protein-5354,XP_015666337.1
crovir-protein-15562,XP_015675324.1
crovir-protein-8228,XP_015677840.1
crovir-protein-1451,XP_015687438.1
crovir-protein-536,XP_015674736.1
crovir-protein-6307,XP_015682549.2
crovir-protein-6895,XP_015665462.1
crovir-protein-15566,XP_029140663.1
crovir-protein-210,XP_015687382.1
crovir-protein-13400,XP_015678147.1
crovir-protein-2133,XP_015678814.1
crovir-protein-16382,XP_015670916.1
crovir-protein-11854,XP_015670359.1
crovir-protein-13860,XP_015673191.1
crovir-protein-11516,XP_029141487.1
crovir-protein-11502,XP_015674444.1
crovir-protein-15575,XP_015679067.1
crovir-protein-421,XP_015676787.1
crovir-protein-8776,XP_015667949.1
crovir-protein-15554,XP_015677324.1
crovir-protein-5252,XP_015681024.1
crovir-protein-15552,XP_015677326.1
crovir-protein-15551,XP_015677327.1
crovir-protein-11596,XP_015672266.1
crovir-protein-11597,XP_015672270.1
crovir-protein-7493,XP_015669590.1
crovir-protein-7490,XP_015669591.1
crovir-protein-1780,XP_029138790.1
crovir-protein-7698,XP_015676515.1
crovir-protein-1287,XP_015676475.1
crovir-protein-5263,XP_015669024.1
crovir-protein-13780,XP_029143168.1
crovir-protein-5282,XP_015673865.1
crovir-protein-5283,XP_015673866.1
crovir-protein-5291,XP_015673871.1
crovir-protein-5288,XP_015673875.1
crovir-protein-15191,XP_015669316.1
crovir-protein-16442,XP_015671270.1
crovir-protein-5302,XP_015670190.1
crovir-protein-5306,XP_015670178.1
crovir-protein-1278,XP_015676170.1
crovir-protein-15175,XP_015679534.1
crovir-protein-6953,XP_015687630.2
crovir-protein-8040,XP_015673859.1
crovir-protein-15171,XP_015679544.2
crovir-protein-6952,XP_015687621.1
crovir-protein-15173,XP_029140400.1
crovir-protein-15121,XP_015669541.1
crovir-protein-6512,XP_015671229.1
crovir-protein-15169,XP_015669335.1
crovir-protein-15154,XP_015669337.1
crovir-protein-8082,XP_015686749.1
crovir-protein-6514,XP_029139933.1
crovir-protein-6511,XP_029139932.1
crovir-protein-15143,XP_015670847.1
crovir-protein-15050,XP_015669880.1
crovir-protein-5425,XP_015668482.1
crovir-protein-16847,XP_015680954.1
crovir-protein-16800,XP_015669460.2
crovir-protein-6848,XP_029140996.1
crovir-protein-14896,XP_015667708.1
crovir-protein-16023,XP_029139954.1
crovir-protein-14889,XP_015667705.1
crovir-protein-623,XP_015667108.1
crovir-protein-1127,XP_015668234.1
crovir-protein-1528,XP_015680710.1
crovir-protein-10185,XP_015678592.1
crovir-protein-5439,XP_015679393.2
crovir-protein-9456,XP_029142149.1
crovir-protein-13235,XP_015683235.1
crovir-protein-16873,XP_015678590.1
crovir-protein-265,XP_029140906.1
crovir-protein-609,XP_015667121.1
crovir-protein-619,XP_015667105.1
crovir-protein-11725,XP_015679838.1
crovir-protein-15202,XP_015682400.1
crovir-protein-5928,XP_015684655.1
crovir-protein-5457,XP_029141014.1
crovir-protein-4736,XP_015680532.1
crovir-protein-10338,XP_015681443.2
crovir-protein-1260,XP_029140814.1
crovir-protein-5107,XP_029141032.1
crovir-protein-368,XP_029142072.1
crovir-protein-7669,XP_029140705.1
crovir-protein-10347,XP_015678178.1
crovir-protein-5467,XP_015676657.1
crovir-protein-8219,XP_015673856.1
crovir-protein-8217,XP_015673855.1
crovir-protein-5465,XP_015677868.1
crovir-protein-11170,XP_015678764.1
crovir-protein-1900,XP_015666671.1
crovir-protein-5583,XP_015666756.1
crovir-protein-8968,XP_015676820.1
crovir-protein-11167,XP_029139034.1
crovir-protein-7772,XP_029139031.1
crovir-protein-12283,XP_015677112.1
crovir-protein-6871,XP_015665496.1
crovir-protein-1895,XP_015666712.1
crovir-protein-10955,XP_015677890.2
crovir-protein-5651,XP_015687523.1
crovir-protein-5655,XP_015687488.1
crovir-protein-14503,XP_015670900.1
crovir-protein-12534,XP_015686148.1
crovir-protein-16605,XP_029141788.1
crovir-protein-17112,XP_015684006.1
crovir-protein-2173,XP_015678397.1
crovir-protein-16588,XP_015680821.1
crovir-protein-13953,XP_015676496.1
crovir-protein-12240,XP_029141388.1
crovir-protein-11157,XP_015682538.1
crovir-protein-12878,XP_015673471.1
crovir-protein-15336,XP_015680927.1
crovir-protein-925,XP_015687548.1
crovir-protein-14509,XP_015679680.1
crovir-protein-221,XP_015687913.1
crovir-protein-12891,XP_015673449.1
crovir-protein-9300,XP_015678279.1
crovir-protein-7436,XP_015675507.1
crovir-protein-14524,XP_015670237.1
crovir-protein-97,XP_015674278.1
crovir-protein-9959,XP_015668298.1
crovir-protein-7047,XP_015668717.1
crovir-protein-471,XP_015687210.1
crovir-protein-3889,XP_015666737.1
crovir-protein-16247,XP_029139061.1
crovir-protein-4933,XP_015668805.1
crovir-protein-14544,XP_015670241.1
crovir-protein-5479,XP_015674306.1
crovir-protein-7925,XP_015677262.1
crovir-protein-7807,XP_015666746.1
crovir-protein-5558,XP_015685916.1
crovir-protein-12340,XP_015684253.1
crovir-protein-7808,XP_015666748.2
crovir-protein-10919,XP_015670419.1
crovir-protein-5559,XP_015685974.1
crovir-protein-14531,XP_029139758.1
crovir-protein-144,XP_015683555.1
crovir-protein-15031,XP_015682645.2
crovir-protein-2945,XP_029138903.1
crovir-protein-5140,XP_015677415.2
crovir-protein-5146,XP_029141051.1
crovir-protein-10905,XP_015674613.1
crovir-protein-1955,XP_015667065.1
crovir-protein-10892,XP_015684712.1
crovir-protein-1962,XP_015667073.1
crovir-protein-16293,XP_015677961.1
crovir-protein-4184,XP_015678059.1
crovir-protein-10885,XP_015677649.1
crovir-protein-1980,XP_015667079.1
crovir-protein-10887,XP_029141131.1
crovir-protein-12246,XP_015671165.1
crovir-protein-4181,XP_015678048.1
crovir-protein-12255,XP_015671154.1
crovir-protein-10875,XP_015686120.1
crovir-protein-12254,XP_015671164.1
crovir-protein-2923,XP_015666428.1
crovir-protein-1993,XP_015666281.1
crovir-protein-2000,XP_015666287.1
crovir-protein-2006,XP_015666288.1
crovir-protein-2007,XP_015666289.1
crovir-protein-10858,XP_015687310.1
crovir-protein-10850,XP_015670883.1
crovir-protein-2010,XP_015666291.1
crovir-protein-5530,XP_015667647.1
crovir-protein-2019,XP_015666096.1
crovir-protein-2021,XP_015666058.1
crovir-protein-5514,XP_015667634.1
crovir-protein-10828,XP_015669817.1
crovir-protein-5509,XP_015668013.1
crovir-protein-2029,XP_029138911.1
crovir-protein-2031,XP_015666051.1
crovir-protein-2033,XP_029138912.1
crovir-protein-2088,XP_015668281.1
crovir-protein-2097,XP_015666219.1
crovir-protein-5499,XP_015682658.1
crovir-protein-10808,XP_015668430.1
crovir-protein-2079,XP_015666231.1
crovir-protein-10791,XP_015677799.1
crovir-protein-5490,XP_015682718.1
crovir-protein-10924,XP_015678179.2
crovir-protein-10778,XP_015671794.1
crovir-protein-5478,XP_015674304.1
crovir-protein-10769,XP_015671797.1
crovir-protein-2146,XP_015678156.1
crovir-protein-5752,XP_015687091.1
crovir-protein-2200,XP_029139123.1
crovir-protein-5747,XP_015687090.1
crovir-protein-5761,XP_015687099.1
crovir-protein-10756,XP_015674503.1
crovir-protein-12194,XP_015673715.1
crovir-protein-2215,XP_029139134.1
crovir-protein-10749,XP_015673344.1
crovir-protein-5769,XP_015675735.1
crovir-protein-2218,XP_015667215.1
crovir-protein-10739,XP_015676813.1
crovir-protein-2236,XP_015666654.1
crovir-protein-10728,XP_029141206.1
crovir-protein-5782,XP_015684777.1
crovir-protein-12177,XP_015673851.1
crovir-protein-5786,XP_015684820.1
crovir-protein-12172,XP_015673850.1
crovir-protein-5787,XP_015684830.1
crovir-protein-10718,XP_015672219.1
crovir-protein-12176,XP_015673845.1
crovir-protein-2252,XP_015668554.1
crovir-protein-2245,XP_015668552.1
crovir-protein-5799,XP_015677607.1
crovir-protein-12167,XP_015668317.1
crovir-protein-12165,XP_015668316.1
crovir-protein-10692,XP_015679727.1
crovir-protein-2289,XP_015677066.1
crovir-protein-5831,XP_015674538.1
crovir-protein-10705,XP_015679715.1
crovir-protein-10694,XP_015679720.1
crovir-protein-2295,XP_015680058.1
crovir-protein-5841,XP_015683053.1
crovir-protein-2315,XP_015678363.1
crovir-protein-10676,XP_015669650.1
crovir-protein-10672,XP_015669619.1
crovir-protein-2322,XP_015676180.1
crovir-protein-2321,XP_015676181.1
crovir-protein-12104,XP_015682724.2
crovir-protein-12101,XP_015677030.1
crovir-protein-12089,XP_015672210.1
crovir-protein-10653,XP_015669640.1
crovir-protein-5958,XP_015671016.1
crovir-protein-12081,XP_015669073.1
crovir-protein-5968,XP_015677110.1
crovir-protein-12076,XP_015669082.1
crovir-protein-5983,XP_015670523.2
crovir-protein-10634,XP_015669201.1
crovir-protein-10637,XP_015669215.1
