Orthogroup	P_troglodytes.pep	N_naja.pep
OG0010161	ENSPTRG00000000750.7	Nana14521-RA
OG0010162	ENSPTRG00000016224.3	Nana17658-RA
OG0010163	ENSPTRG00000009096.6	Nana23038-RA
OG0010164	ENSPTRG00000016227.6	Nana17664-RA
OG0010165	ENSPTRG00000009098.6	Nana23041-RA
OG0010166	ENSPTRG00000016229.6	Nana17665-RA
OG0010167	ENSPTRG00000000754.6	Nana14526-RA
OG0010168	ENSPTRG00000009100.5	Nana23044-RA
OG0010169	ENSPTRG00000016236.5	Nana17670-RA
OG0010170	ENSPTRG00000009101.4	Nana23045-RA
OG0010171	ENSPTRG00000000762.5	Nana14537-RA
OG0010172	ENSPTRG00000001898.6	Nana14138-RA
OG0010173	ENSPTRG00000001897.5	Nana14139-RA
OG0010174	ENSPTRG00000016240.5	Nana17676-RA
OG0010175	ENSPTRG00000009102.6	Nana23047-RA, Nana23047-RB
OG0010176	ENSPTRG00000001896.7	Nana14143-RA
OG0010177	ENSPTRG00000001895.6	Nana14147-RA
OG0010178	ENSPTRG00000016241.6	Nana17677-RA
OG0010179	ENSPTRG00000043088.1	Nana19428-RA
OG0010180	ENSPTRG00000009109.5	Nana23058-RA
OG0010181	ENSPTRG00000024346.5	Nana23059-RA
OG0010182	ENSPTRG00000001892.4	Nana14149-RA
OG0010183	ENSPTRG00000009111.7	Nana23060-RA
OG0010184	ENSPTRG00000003018.5	Nana19572-RA
OG0010185	ENSPTRG00000001891.7	Nana14151-RA
OG0010186	ENSPTRG00000016249.6	Nana17693-RA
OG0010187	ENSPTRG00000009113.5	Nana23063-RA
OG0010188	ENSPTRG00000047334.1	Nana19553-RA
OG0010189	ENSPTRG00000016255.6	Nana17696-RA
OG0010190	ENSPTRG00000009115.6	Nana23065-RA
OG0010191	ENSPTRG00000009116.4	Nana23068-RA
OG0010192	ENSPTRG00000016256.4	Nana17697-RA
OG0010193	ENSPTRG00000023167.5	Nana19542-RA, Nana19541-RA
OG0010194	ENSPTRG00000001886.5	Nana14163-RA
OG0010195	ENSPTRG00000046548.1	Nana19536-RA
OG0010196	ENSPTRG00000003030.6	Nana19535-RA
OG0010197	ENSPTRG00000001883.7	Nana14166-RA
OG0010198	ENSPTRG00000003033.6	Nana19530-RA
OG0010199	ENSPTRG00000001881.6	Nana14169-RA
OG0010200	ENSPTRG00000016263.4	Nana17712-RA
OG0010201	ENSPTRG00000003034.5	Nana19524-RA
OG0010202	ENSPTRG00000009123.5	Nana23080-RA
OG0010203	ENSPTRG00000009125.4	Nana23082-RA
OG0010204	ENSPTRG00000003040.7	Nana19515-RA
OG0010205	ENSPTRG00000003043.6	Nana19513-RA
OG0010206	ENSPTRG00000016271.6	Nana17720-RA
OG0010207	ENSPTRG00000001872.5	Nana14179-RA
OG0010208	ENSPTRG00000009137.5	Nana23091-RA
OG0010209	ENSPTRG00000044806.1, ENSPTRG00000016275.5	Nana17725-RA
OG0010210	ENSPTRG00000048747.1	Nana17731-RA
OG0010211	ENSPTRG00000016284.6	Nana17738-RA, Nana17735-RA
OG0010212	ENSPTRG00000016285.6	Nana17740-RA
OG0010213	ENSPTRG00000003005.7	Nana19591-RB
OG0010214	ENSPTRG00000018165.7	Nana14184-RB
OG0010215	ENSPTRG00000018163.4	Nana14186-RA
OG0010216	ENSPTRG00000003001.5	Nana19599-RA
OG0010217	ENSPTRG00000016293.5	Nana17766-RA
OG0010218	ENSPTRG00000009526.7	Nana23124-RA
OG0010219	ENSPTRG00000009525.5	Nana23125-RB
OG0010220	ENSPTRG00000009524.5	Nana23126-RA
OG0010221	ENSPTRG00000005181.6	Nana26790-RA
OG0010222	ENSPTRG00000005180.4	Nana26792-RA
OG0010223	ENSPTRG00000005179.5	Nana26795-RA
OG0010224	ENSPTRG00000002995.6	Nana19604-RA
OG0010225	ENSPTRG00000008996.6	Nana23129-RA
OG0010226	ENSPTRG00000018084.5	Nana14210-RA
OG0010227	ENSPTRG00000005824.6	Nana26630-RA
OG0010228	ENSPTRG00000005175.5	Nana26801-RA
OG0010229	ENSPTRG00000005820.6	Nana26767-RA
OG0010230	ENSPTRG00000018076.6	Nana14220-RA
OG0010231	ENSPTRG00000005171.4	Nana26807-RA
OG0010232	ENSPTRG00000018074.6	Nana14223-RA, Nana14223-RB
OG0010233	ENSPTRG00000005170.5	Nana26808-RA
OG0010234	ENSPTRG00000005811.5	Nana26617-RA
OG0010235	ENSPTRG00000009195.3	Nana23149-RA
OG0010236	ENSPTRG00000018065.3	Nana14228-RA
OG0010237	ENSPTRG00000005167.6	Nana26812-RA
OG0010238	ENSPTRG00000018064.4	Nana14230-RA
OG0010239	ENSPTRG00000018062.4	Nana14232-RA, Nana14232-RC
OG0010240	ENSPTRG00000018061.6	Nana14232-RE, Nana14232-RD, Nana14232-RB
OG0010241	ENSPTRG00000005914.6	Nana26577-RA
OG0010242	ENSPTRG00000009203.5	Nana23152-RA
OG0010243	ENSPTRG00000018057.6	Nana14240-RA
OG0010244	ENSPTRG00000005163.6	Nana26818-RA
OG0010245	ENSPTRG00000018055.4	Nana14243-RA
OG0010246	ENSPTRG00000018054.4	Nana14244-RA, Nana14244-RC
OG0010247	ENSPTRG00000005918.6	Nana26557-RA
OG0010248	ENSPTRG00000050966.1	Nana23166-RA
OG0010249	ENSPTRG00000005159.6	Nana26844-RB, Nana26844-RA
OG0010250	ENSPTRG00000048648.1	Nana26853-RA
OG0010251	ENSPTRG00000004858.6	Nana26860-RA
OG0010252	ENSPTRG00000018145.5	Nana14248-RA
OG0010253	ENSPTRG00000005966.7	Nana26361-RA
OG0010254	ENSPTRG00000004856.7	Nana26870-RA
OG0010255	ENSPTRG00000048877.1	Nana26357-RA
OG0010256	ENSPTRG00000009335.2	Nana23183-RA
OG0010257	ENSPTRG00000018106.6	Nana14254-RA
OG0010258	ENSPTRG00000009336.6	Nana23184-RA, Nana23184-RB
OG0010259	ENSPTRG00000004853.7	Nana26876-RA
OG0010260	ENSPTRG00000018114.3	Nana14259-RA
OG0010261	ENSPTRG00000046710.1, ENSPTRG00000018115.7	Nana14260-RA
OG0010262	ENSPTRG00000009339.6	Nana23187-RA
OG0010263	ENSPTRG00000015932.6	Nana18739-RA
OG0010264	ENSPTRG00000009340.5	Nana23188-RA
OG0010265	ENSPTRG00000009343.5	Nana23192-RA
OG0010266	ENSPTRG00000047216.1	Nana23193-RA
OG0010267	ENSPTRG00000005974.6	Nana26332-RA
OG0010268	ENSPTRG00000009351.3	Nana23205-RA
OG0010269	ENSPTRG00000009352.6	Nana23206-RA
OG0010270	ENSPTRG00000009355.6	Nana23211-RA
OG0010271	ENSPTRG00000004840.4	Nana26894-RA
OG0010272	ENSPTRG00000005943.7	Nana26437-RA
OG0010273	ENSPTRG00000009365.6	Nana23226-RB
OG0010274	ENSPTRG00000004836.5	Nana26900-RA
OG0010275	ENSPTRG00000005939.4	Nana26447-RA
OG0010276	ENSPTRG00000004834.6	Nana29696-RA
OG0010277	ENSPTRG00000001825.5	Nana14287-RA
OG0010278	ENSPTRG00000005932.7	Nana26461-RA
OG0010279	ENSPTRG00000005929.7	Nana39435-RA
OG0010280	ENSPTRG00000005927.6	Nana26477-RA
OG0010281	ENSPTRG00000009377.5	Nana23240-RA
OG0010282	ENSPTRG00000005926.6	Nana26478-RA
OG0010283	ENSPTRG00000009381.6	Nana23244-RA
OG0010284	ENSPTRG00000001824.4	Nana14288-RA
OG0010285	ENSPTRG00000019589.7	Nana29701-RA
OG0010287	ENSPTRG00000001041.5	Nana14291-RA, Nana14291-RB
OG0010288	ENSPTRG00000005957.2	Nana26390-RA, Nana26389-RA
OG0010289	ENSPTRG00000005955.6	Nana26397-RA
OG0010290	ENSPTRG00000005954.4	Nana26404-RA
OG0010291	ENSPTRG00000014640.5	Nana08425-RA
OG0010292	ENSPTRG00000001043.5	Nana14294-RA
OG0010293	ENSPTRG00000005951.2	Nana26421-RA
OG0010294	ENSPTRG00000028417.4	Nana29706-RA
OG0010295	ENSPTRG00000005949.6	Nana26426-RA
OG0010296	ENSPTRG00000005948.6	Nana26431-RA
OG0010297	ENSPTRG00000009391.7	Nana23258-RA
OG0010298	ENSPTRG00000050671.1	Nana18310-RA
OG0010299	ENSPTRG00000023820.4	Nana14042-RA
OG0010300	ENSPTRG00000019601.6	Nana29713-RA
OG0010301	ENSPTRG00000052549.1	Nana14041-RA
OG0010302	ENSPTRG00000001938.4	Nana14040-RA
OG0010303	ENSPTRG00000019604.4	Nana29718-RA
OG0010304	ENSPTRG00000044767.1	Nana29719-RA
OG0010305	ENSPTRG00000005988.5	Nana26280-RA
OG0010306	ENSPTRG00000009260.4	Nana23266-RA
OG0010307	ENSPTRG00000019608.7	Nana29681-RA
OG0010308	ENSPTRG00000047353.1	Nana29663-RA
OG0010309	ENSPTRG00000038773.2	Nana23274-RA
OG0010310	ENSPTRG00000018166.4	Nana14035-RA
OG0010311	ENSPTRG00000040031.2	Nana29659-RA
OG0010312	ENSPTRG00000001098.6	Nana14034-RA
OG0010313	ENSPTRG00000019613.6	Nana29658-RA
OG0010314	ENSPTRG00000001099.7	Nana14033-RA
OG0010315	ENSPTRG00000009262.4	Nana23284-RA
OG0010316	ENSPTRG00000001105.5	Nana14029-RA
OG0010317	ENSPTRG00000019614.7	Nana29655-RA
OG0010318	ENSPTRG00000001107.5	Nana14021-RA
OG0010319	ENSPTRG00000009523.6	Nana23287-RA
OG0010321	ENSPTRG00000019619.6	Nana29645-RA
OG0010322	ENSPTRG00000009083.6	Nana23291-RA
OG0010323	ENSPTRG00000019624.5	Nana29621-RA
OG0010324	ENSPTRG00000049346.1	Nana26297-RA, Nana38981-RA
OG0010325	ENSPTRG00000006005.7	Nana26298-RA
OG0010326	ENSPTRG00000011346.6	Nana23363-RA, Nana38578-RA
OG0010327	ENSPTRG00000024336.6	Nana26301-RA
OG0010328	ENSPTRG00000001120.4	Nana13992-RA
OG0010329	ENSPTRG00000014527.6	Nana29553-RA
OG0010330	ENSPTRG00000044273.1	Nana29554-RA
OG0010331	ENSPTRG00000011343.6	Nana23343-RA
OG0010332	ENSPTRG00000014529.6	Nana29555-RA
OG0010333	ENSPTRG00000006010.6	Nana26307-RA
OG0010334	ENSPTRG00000001131.5	Nana13966-RA
OG0010335	ENSPTRG00000029395.3	Nana29558-RA
OG0010336	ENSPTRG00000006015.4	Nana26308-RA
OG0010337	ENSPTRG00000014532.5	Nana29559-RD
OG0010338	ENSPTRG00000014534.6	Nana29561-RA
OG0010339	ENSPTRG00000001137.6	Nana13961-RA
OG0010340	ENSPTRG00000006022.7	Nana26258-RB
OG0010341	ENSPTRG00000001139.6	Nana13960-RA
OG0010342	ENSPTRG00000050510.1, ENSPTRG00000011310.4	Nana23334-RA
OG0010343	ENSPTRG00000006036.6	Nana26238-RA
OG0010344	ENSPTRG00000006039.6	Nana26229-RA
OG0010345	ENSPTRG00000047925.1	Nana29566-RA
OG0010346	ENSPTRG00000049498.1, ENSPTRG00000011286.6	Nana23330-RA
OG0010347	ENSPTRG00000019649.4	Nana29576-RA
OG0010348	ENSPTRG00000019646.4	Nana29588-RA
OG0010349	ENSPTRG00000001144.4	Nana13952-RA
OG0010351	ENSPTRG00000001829.6	Nana13947-RA
OG0010352	ENSPTRG00000047424.1, ENSPTRG00000006049.7	Nana26203-RA
OG0010354	ENSPTRG00000046605.1, ENSPTRG00000006051.4	Nana26202-RA
OG0010355	ENSPTRG00000001833.4	Nana13940-RA
OG0010356	ENSPTRG00000001834.6	Nana13939-RA
OG0010357	ENSPTRG00000006055.6	Nana26199-RA
OG0010358	ENSPTRG00000006056.6	Nana26198-RA
OG0010359	ENSPTRG00000001837.6	Nana13930-RB
OG0010360	ENSPTRG00000045155.1	Nana26191-RA
OG0010361	ENSPTRG00000011303.3	Nana23303-RA
OG0010362	ENSPTRG00000011305.6	Nana23300-RA, Nana23299-RA
OG0010363	ENSPTRG00000001843.6	Nana13923-RA
OG0010364	ENSPTRG00000019629.6	Nana29614-RA
OG0010365	ENSPTRG00000011309.6	Nana23294-RA
OG0010366	ENSPTRG00000009081.5	Nana23293-RB
OG0010367	ENSPTRG00000001845.3	Nana13920-RA
OG0010368	ENSPTRG00000022727.4	Nana29616-RA
OG0010369	ENSPTRG00000030923.3	Nana23292-RA
OG0010370	ENSPTRG00000050483.1	Nana26187-RA
OG0010371	ENSPTRG00000006072.7	Nana26184-RA
OG0010372	ENSPTRG00000014515.3	Nana29526-RA
OG0010373	ENSPTRG00000014513.4	Nana29525-RA
OG0010374	ENSPTRG00000001086.6	Nana13910-RA
OG0010375	ENSPTRG00000052016.1	Nana26182-RA
OG0010376	ENSPTRG00000001866.4	Nana13899-RA
OG0010377	ENSPTRG00000048480.1	Nana26174-RA
OG0010378	ENSPTRG00000015957.6	Nana18416-RA
OG0010379	ENSPTRG00000015955.5	Nana18412-RA
OG0010380	ENSPTRG00000001842.6	Nana13891-RA
OG0010381	ENSPTRG00000015954.4	Nana18383-RA
OG0010382	ENSPTRG00000001841.7	Nana13890-RA, Nana13890-RB
OG0010383	ENSPTRG00000001839.5	Nana13888-RA
OG0010384	ENSPTRG00000012325.5	Nana26165-RA
OG0010385	ENSPTRG00000001860.3	Nana13884-RA
OG0010386	ENSPTRG00000012318.5	Nana26161-RA
OG0010387	ENSPTRG00000012317.3	Nana26160-RA
OG0010388	ENSPTRG00000012313.4	Nana26151-RA
OG0010389	ENSPTRG00000012260.5	Nana26066-RA
OG0010390	ENSPTRG00000013437.5	Nana13875-RA
OG0010391	ENSPTRG00000015942.4	Nana18305-RA
OG0010392	ENSPTRG00000013439.2	Nana13872-RA
OG0010393	ENSPTRG00000013440.6	Nana13871-RA
OG0010394	ENSPTRG00000015940.4	Nana18306-RA, Nana39853-RA
OG0010395	ENSPTRG00000030356.4	Nana26059-RA
OG0010396	ENSPTRG00000006832.7	Nana26053-RA
OG0010400	ENSPTRG00000013488.6	Nana13849-RA
OG0010401	ENSPTRG00000021833.4	Nana26036-RA
OG0010402	ENSPTRG00000004530.5	Nana18454-RA
OG0010403	ENSPTRG00000013504.6	Nana13844-RB, Nana13844-RA
OG0010404	ENSPTRG00000042945.1	Nana26033-RA
OG0010405	ENSPTRG00000050696.1	Nana26032-RA
OG0010406	ENSPTRG00000051312.1	Nana29380-RA
OG0010407	ENSPTRG00000050816.1	Nana13840-RA
OG0010408	ENSPTRG00000013465.6	Nana13837-RC
OG0010409	ENSPTRG00000052053.1	Nana26028-RA
OG0010410	ENSPTRG00000004553.5	Nana08307-RA
OG0010411	ENSPTRG00000049561.1	Nana23357-RA
OG0010412	ENSPTRG00000028324.5	Nana26013-RA
OG0010413	ENSPTRG00000045040.1	Nana29377-RA
OG0010414	ENSPTRG00000004564.6	Nana29394-RA
OG0010415	ENSPTRG00000021645.4	Nana25972-RA
OG0010417	ENSPTRG00000051528.1	Nana25959-RA
OG0010418	ENSPTRG00000021653.6	Nana25736-RA, Nana25948-RA
OG0010419	ENSPTRG00000021658.6	Nana25935-RA
OG0010420	ENSPTRG00000021663.6	Nana25915-RA
OG0010421	ENSPTRG00000004699.5	Nana29449-RA
OG0010422	ENSPTRG00000013429.6	Nana13831-RA
OG0010423	ENSPTRG00000048272.1	Nana25900-RA
OG0010424	ENSPTRG00000021680.5	Nana25895-RA
OG0010425	ENSPTRG00000021681.5	Nana25894-RA
OG0010426	ENSPTRG00000013400.5	Nana13819-RA
OG0010427	ENSPTRG00000014505.6	Nana29457-RA
OG0010428	ENSPTRG00000014500.6	Nana29468-RA
OG0010429	ENSPTRG00000015280.6	Nana27890-RA
OG0010430	ENSPTRG00000014498.6	Nana29469-RA
OG0010431	ENSPTRG00000014497.5	Nana29474-RA
OG0010432	ENSPTRG00000014496.6	Nana29475-RA
OG0010433	ENSPTRG00000014489.4	Nana29484-RA
OG0010434	ENSPTRG00000021688.4	Nana25892-RA
OG0010435	ENSPTRG00000014488.6	Nana29487-RA
OG0010436	ENSPTRG00000013418.6	Nana13787-RA
OG0010437	ENSPTRG00000013421.6	Nana13781-RA
OG0010438	ENSPTRG00000013423.7	Nana13779-RA
OG0010439	ENSPTRG00000013459.5	Nana13776-RA
OG0010440	ENSPTRG00000021700.6	Nana25883-RA
OG0010441	ENSPTRG00000033708.2	Nana11035-RA
OG0010442	ENSPTRG00000044714.1	Nana29504-RA
OG0010443	ENSPTRG00000021705.6	Nana25876-RA
OG0010444	ENSPTRG00000021711.6	Nana25867-RA
OG0010445	ENSPTRG00000021713.5	Nana25866-RA
OG0010446	ENSPTRG00000001121.7	Nana13980-RA
OG0010447	ENSPTRG00000013497.7	Nana13718-RA
OG0010448	ENSPTRG00000021716.6	Nana25862-RA
OG0010449	ENSPTRG00000038644.2	Nana13723-RA
OG0010450	ENSPTRG00000019351.6	Nana29102-RA
OG0010451	ENSPTRG00000013492.2	Nana13731-RA
OG0010452	ENSPTRG00000019353.6	Nana29111-RA
OG0010453	ENSPTRG00000048773.1	Nana25856-RA
OG0010454	ENSPTRG00000019354.4	Nana29122-RB
OG0010455	ENSPTRG00000049711.1	Nana13688-RA, Nana13688-RB
OG0010456	ENSPTRG00000013542.5	Nana13687-RA
OG0010457	ENSPTRG00000013541.7	Nana13686-RA
OG0010458	ENSPTRG00000013534.6	Nana13682-RA
OG0010459	ENSPTRG00000021733.4	Nana25839-RA
OG0010461	ENSPTRG00000021735.5	Nana25838-RA
OG0010462	ENSPTRG00000023150.4	Nana29194-RA
OG0010463	ENSPTRG00000021737.4	Nana25836-RA
OG0010464	ENSPTRG00000049325.1	Nana25830-RA
OG0010465	ENSPTRG00000013526.6	Nana13673-RA
OG0010466	ENSPTRG00000021744.5	Nana25824-RA
OG0010467	ENSPTRG00000013522.3	Nana13670-RA
OG0010468	ENSPTRG00000050927.1	Nana13669-RA
OG0010469	ENSPTRG00000013517.3	Nana13667-RA
OG0010470	ENSPTRG00000013516.5	Nana13666-RA
OG0010471	ENSPTRG00000013585.4	Nana13655-RA
OG0010472	ENSPTRG00000013586.7	Nana13654-RA
OG0010473	ENSPTRG00000004782.6	Nana29216-RA
OG0010474	ENSPTRG00000013588.6	Nana13652-RA
OG0010475	ENSPTRG00000004783.6	Nana29217-RA
OG0010476	ENSPTRG00000013589.7	Nana13649-RA
OG0010477	ENSPTRG00000045701.1	Nana25804-RA
OG0010478	ENSPTRG00000004785.5, ENSPTRG00000050452.1	Nana29220-RA
OG0010479	ENSPTRG00000044033.1	Nana25746-RA
OG0010480	ENSPTRG00000021771.6	Nana25761-RA
OG0010481	ENSPTRG00000013592.7	Nana13645-RA
OG0010482	ENSPTRG00000021768.6, ENSPTRG00000048201.1	Nana25764-RA
OG0010483	ENSPTRG00000021767.6	Nana25766-RA
OG0010484	ENSPTRG00000050032.1	Nana13644-RA
OG0010485	ENSPTRG00000050517.1	Nana24399-RA
OG0010486	ENSPTRG00000021792.4	Nana24401-RA
OG0010487	ENSPTRG00000021796.6	Nana24408-RA, Nana24406-RA
OG0010488	ENSPTRG00000021803.4	Nana24429-RA
OG0010489	ENSPTRG00000013599.5	Nana13636-RA
OG0010490	ENSPTRG00000021805.4	Nana24433-RA
OG0010491	ENSPTRG00000013609.5	Nana13631-RA
OG0010492	ENSPTRG00000019341.5	Nana29265-RA
OG0010493	ENSPTRG00000013611.5	Nana13628-RA
OG0010494	ENSPTRG00000019340.7	Nana29270-RA
OG0010495	ENSPTRG00000013613.3	Nana13627-RA
OG0010496	ENSPTRG00000021811.4	Nana24446-RA
OG0010497	ENSPTRG00000019339.4	Nana29271-RA
OG0010498	ENSPTRG00000019337.6	Nana29273-RA
OG0010499	ENSPTRG00000040435.2	Nana13621-RA
OG0010500	ENSPTRG00000013686.7	Nana13518-RA
OG0010501	ENSPTRG00000049506.1	Nana13512-RA
OG0010502	ENSPTRG00000052443.1	Nana13510-RA
OG0010503	ENSPTRG00000013690.6	Nana13507-RA
OG0010504	ENSPTRG00000013696.6	Nana13482-RA
OG0010505	ENSPTRG00000013700.7	Nana13480-RA
OG0010506	ENSPTRG00000013704.5	Nana13476-RA
OG0010507	ENSPTRG00000013972.6	Nana24510-RA
OG0010508	ENSPTRG00000013968.6	Nana24514-RA
OG0010509	ENSPTRG00000042805.1	Nana24519-RA
OG0010510	ENSPTRG00000013957.3	Nana24528-RA
OG0010511	ENSPTRG00000013954.7	Nana24531-RA
OG0010512	ENSPTRG00000013709.6	Nana13470-RA
OG0010513	ENSPTRG00000013710.4	Nana13469-RA
OG0010514	ENSPTRG00000013715.6	Nana13459-RA
OG0010515	ENSPTRG00000013719.6	Nana38529-RA, Nana38532-RA
OG0010516	ENSPTRG00000013948.4	Nana24540-RA
OG0010517	ENSPTRG00000013946.6	Nana24542-RA
OG0010518	ENSPTRG00000013944.5	Nana24544-RA
OG0010519	ENSPTRG00000013942.3	Nana24546-RA
OG0010520	ENSPTRG00000013937.6	Nana24549-RA
OG0010521	ENSPTRG00000013725.7	Nana13451-RA
OG0010522	ENSPTRG00000050158.1	Nana24553-RA
OG0010523	ENSPTRG00000013727.6	Nana13447-RA
OG0010524	ENSPTRG00000013731.6	Nana13438-RA
OG0010525	ENSPTRG00000013929.6	Nana24556-RA
OG0010526	ENSPTRG00000013733.5	Nana13434-RA
OG0010528	ENSPTRG00000013925.6	Nana24559-RA
OG0010529	ENSPTRG00000013924.6	Nana24560-RA
OG0010530	ENSPTRG00000019583.4	Nana29289-RA
OG0010531	ENSPTRG00000013916.5	Nana24570-RA, Nana24569-RA, Nana24568-RA, Nana24571-RA
OG0010532	ENSPTRG00000013915.6	Nana24572-RA
OG0010533	ENSPTRG00000019585.5	Nana29287-RA
OG0010534	ENSPTRG00000013908.6	Nana24576-RA
OG0010535	ENSPTRG00000030459.2	Nana13355-RA
OG0010537	ENSPTRG00000013907.6	Nana24577-RA, Nana24577-RB
OG0010538	ENSPTRG00000043267.1	Nana24578-RA
OG0010539	ENSPTRG00000004469.5	Nana24582-RA
OG0010540	ENSPTRG00000013901.7	Nana24583-RA
OG0010541	ENSPTRG00000013900.6	Nana24589-RA
OG0010542	ENSPTRG00000013897.6	Nana24592-RB, Nana24592-RA
OG0010543	ENSPTRG00000013895.5	Nana24594-RA
OG0010544	ENSPTRG00000013894.6	Nana24595-RA
OG0010545	ENSPTRG00000013891.3	Nana24605-RA
OG0010546	ENSPTRG00000013757.7	Nana13333-RA
OG0010547	ENSPTRG00000052260.1	Nana29512-RA
OG0010548	ENSPTRG00000013890.5	Nana24606-RA
OG0010549	ENSPTRG00000013881.6	Nana24629-RA
OG0010550	ENSPTRG00000013880.3	Nana24630-RA
OG0010551	ENSPTRG00000039422.2	Nana24632-RA
OG0010552	ENSPTRG00000031433.2	Nana24633-RA
OG0010554	ENSPTRG00000014510.5	Nana29520-RA
OG0010555	ENSPTRG00000050230.1	Nana18499-RA
OG0010556	ENSPTRG00000016609.5	Nana18268-RA
OG0010557	ENSPTRG00000016001.5	Nana18494-RA
OG0010558	ENSPTRG00000050417.1	Nana18492-RA
OG0010560	ENSPTRG00000016601.6	Nana18274-RB
OG0010562	ENSPTRG00000013857.7	Nana24667-RA
OG0010564	ENSPTRG00000013854.6	Nana24668-RA
OG0010565	ENSPTRG00000013850.4	Nana24672-RA
OG0010567	ENSPTRG00000016011.3	Nana39400-RA
OG0010568	ENSPTRG00000013848.5	Nana24677-RA
OG0010569	ENSPTRG00000016012.4	Nana18472-RA
OG0010570	ENSPTRG00000013847.6	Nana24678-RA
OG0010571	ENSPTRG00000016015.7	Nana18470-RA
OG0010572	ENSPTRG00000013823.6	Nana24686-RA
OG0010574	ENSPTRG00000016020.4	Nana18460-RA
OG0010575	ENSPTRG00000013819.6	Nana24690-RB
OG0010576	ENSPTRG00000016062.6	Nana18582-RA
OG0010577	ENSPTRG00000013814.4	Nana24693-RA
OG0010578	ENSPTRG00000013813.5	Nana24694-RA
OG0010579	ENSPTRG00000016066.4	Nana18575-RA
OG0010580	ENSPTRG00000016067.6	Nana18573-RA
OG0010581	ENSPTRG00000016069.4	Nana18571-RA
OG0010582	ENSPTRG00000013800.3	Nana24710-RA
OG0010583	ENSPTRG00000013799.5	Nana24711-RA
OG0010584	ENSPTRG00000015118.7	Nana24731-RA
OG0010585	ENSPTRG00000015119.5	Nana24737-RA
OG0010586	ENSPTRG00000047510.1	Nana24764-RA
OG0010587	ENSPTRG00000015122.5	Nana24765-RA
OG0010588	ENSPTRG00000015123.3	Nana24766-RA
OG0010589	ENSPTRG00000015124.5	Nana24767-RA
OG0010590	ENSPTRG00000020012.6	Nana18137-RA
OG0010591	ENSPTRG00000020015.4	Nana18140-RA
OG0010592	ENSPTRG00000001225.5	Nana24770-RA
OG0010593	ENSPTRG00000043079.1	Nana24771-RA
OG0010594	ENSPTRG00000020020.6	Nana18144-RA
OG0010595	ENSPTRG00000015255.3	Nana24775-RB, Nana24775-RA
OG0010596	ENSPTRG00000008409.5	Nana31157-RA
OG0010597	ENSPTRG00000008410.5	Nana31158-RA
OG0010598	ENSPTRG00000034007.2	Nana31159-RA
OG0010599	ENSPTRG00000008215.6	Nana31163-RA
OG0010600	ENSPTRG00000001630.4	Nana24795-RA
OG0010601	ENSPTRG00000047547.1	Nana31165-RA
OG0010602	ENSPTRG00000022532.5	Nana24796-RA
OG0010603	ENSPTRG00000048706.1	Nana24797-RA
OG0010604	ENSPTRG00000023523.6	Nana24798-RA
OG0010605	ENSPTRG00000001640.4	Nana24804-RA
OG0010606	ENSPTRG00000020025.6	Nana18154-RA
OG0010607	ENSPTRG00000039227.2	Nana24808-RA
OG0010608	ENSPTRG00000015139.5	Nana24811-RA
OG0010609	ENSPTRG00000015130.2	Nana24832-RA
OG0010610	ENSPTRG00000015126.4	Nana24842-RA
OG0010611	ENSPTRG00000016660.6	Nana18175-RA
OG0010612	ENSPTRG00000015212.3	Nana24849-RA
OG0010613	ENSPTRG00000016658.3	Nana18178-RA
OG0010614	ENSPTRG00000015210.4	Nana24851-RA
OG0010616	ENSPTRG00000015204.5	Nana24856-RA
OG0010617	ENSPTRG00000015193.6	Nana24862-RA
OG0010618	ENSPTRG00000016649.7	Nana18192-RA
OG0010619	ENSPTRG00000016647.6	Nana18193-RA
OG0010620	ENSPTRG00000016643.6	Nana18198-RE
OG0010621	ENSPTRG00000016636.6	Nana18203-RA
OG0010622	ENSPTRG00000016634.4	Nana18204-RA
OG0010623	ENSPTRG00000016629.4	Nana18213-RA
OG0010624	ENSPTRG00000015189.4	Nana24865-RA
OG0010625	ENSPTRG00000016626.7	Nana18215-RA
OG0010626	ENSPTRG00000015187.7	Nana24867-RA
OG0010627	ENSPTRG00000015184.6	Nana24870-RA
OG0010628	ENSPTRG00000016617.3	Nana18251-RA
OG0010629	ENSPTRG00000016616.3	Nana18254-RA
OG0010630	ENSPTRG00000016611.6	Nana18261-RA
OG0010631	ENSPTRG00000015180.5	Nana24882-RA
OG0010632	ENSPTRG00000015179.6	Nana24883-RA
OG0010633	ENSPTRG00000016479.5	Nana17997-RA
OG0010634	ENSPTRG00000015162.4	Nana24904-RA
OG0010635	ENSPTRG00000015161.5	Nana24905-RA
OG0010636	ENSPTRG00000016470.6	Nana18005-RA
OG0010637	ENSPTRG00000015154.6	Nana24909-RA
OG0010639	ENSPTRG00000034541.3	Nana24911-RA
OG0010640	ENSPTRG00000015153.7	Nana24912-RA
OG0010641	ENSPTRG00000001162.6	Nana24915-RA
OG0010642	ENSPTRG00000016465.6	Nana18013-RA
OG0010643	ENSPTRG00000001644.7	Nana24917-RA
OG0010644	ENSPTRG00000016464.6	Nana18014-RA
OG0010645	ENSPTRG00000001651.3	Nana24921-RA
OG0010646	ENSPTRG00000001653.6	Nana24922-RA
OG0010647	ENSPTRG00000001655.5	Nana24923-RA
OG0010648	ENSPTRG00000016459.6	Nana18020-RA
